created_at,text
2020-05-29T23:31:24+00:00,"Y porque no hacemos una campaña por lo del problema mayor .de que vale pedir oxígeno sin el paciente que es Venezuela está muriendo ,no me jodas https://t.co/yITrGdHjyg"
2020-05-29T21:58:05+00:00,"Seguimos apoyando a Karim gracias a nuestro #teampositivo #Dexametasona
.
.
#voluntariado #lamovidapositiva @movidapositivav #juntospodemoshacermasbien #ActuandoEnPositivo #Barquisimeto en Barquisimeto - Edo. Lara https://t.co/gJfN8iAdnc"
2020-05-29T13:49:58+00:00,"Jguaido saca la baraja del TIAR para agarrar oxígeno, la verdad es para alargar el tiempo que le queda poco."
2020-05-29T12:39:11+00:00,Jijiji pataletas de ahogados...se les acaba el oxígeno pidan taima vale..las elecciones de la AN bien cerquita papa https://t.co/OJxW55El9v
2020-05-28T23:25:25+00:00,"Ésa es una manera de ver las cosas. Otra sería entender que, sin problemas de gasolina, se activa el transporte y la vida económica. Las vías de comunicación son como las venas y arterias del cuerpo, son las que llevan el oxígeno a todos lados. https://t.co/9iPxEJrqDW"
2020-05-28T21:29:35+00:00,@TAMARA_SUJU Tampoco es que la abstención haya llevado a ningún lado
2020-05-28T20:02:58+00:00,Se conecto Maria Corina....para darle oxigeno a @jguaido https://t.co/Z7QkwIouRu
2020-05-28T10:13:13+00:00,"Un Hijo Es VIDA
Un Hijo Es OXIGENO
Un Hijo Es FUERZA
Un Hijo Es AMOR
Un hijo Es LUZ
Un Hijo Es Un PEDAZO DE CORAZÓN 
Un Hijo Dá Una RAZÓN 
Más Para SOÑAR ,
AMAR Y VIVIR.!!
#oderrodriguez en Puerto La Cruz ,… https://t.co/oqbqOrTTkz"
2020-05-27T22:45:39+00:00,"Miren quién recibió su #Dexametasona nuestra guerrera Hilary! Por cierto, su abuela no cree que hice la marquesa, tendré que grabar un video del paso a paso para la próxima 😂😂😂 Quedan muy ricas porque las hago con… https://t.co/RA6w6ZhSyq"
2020-05-27T13:15:51+00:00,@AsambleaVE @unidadvenezuela Verga que desperdició de oxígeno son todos ustedes
2020-05-27T00:50:34+00:00,"Señores, el régimen con el exito obtenido por la llegada de tanqueros con gasolina que compró Irán agarró oxigeno. Preparense para una nueva escalada. La razón?  Consideran que Trum bajó la guardia y claudicó por miedo a entrar en conflicto con lo persas. O sea hubo miedo"
2020-05-26T02:04:15+00:00,"Es obvio que la acusación contra VP es parte de la campaña electoral del gobierno, que ya comenzó. Buscan:
 1. Darles oxígeno haciendo creer que es la oposición que los daña;
 2. Radicalizarlos para que insistan en la vía de la violencia y en la abstención https://t.co/f5HU7ZxB2d"
2020-05-25T20:12:40+00:00,"El gran Brian May #BrianMay @DrBrianMay casi se nos va luego sufrir un ataque al corazón y #BadBunny allí como si nada, convirtiendo el oxígeno en dióxido de carbono
https://t.co/iRFHoyUaF5"
2020-05-25T13:04:07+00:00,"Que opinan se ésta situación  los "" patriotas"" del Partido  comunista de Venezuela(PCV) ?
En lugar de enviar besos y loas a Irán, porqué no se pronuncian sobre nuestros inmigrantes ?.
Salgan del enchufe y digan algo, aunque sea, "" que el aire tiene oxigeno"". Pero digan algo. https://t.co/pIzWx94M66"
2020-05-25T13:03:29+00:00,"IMPORTANCIA DE RESPIRAR 

Oxígeno y combustible. 
Son dos de los principales elementos que se necesitan para que un motor funcione. Pero para que el propulsor alcance su máxima potencia estos elementos se deben… https://t.co/BfbM1plxXU"
2020-05-25T03:11:31+00:00,"La única prioridad de Venezuela es la Libertad, lo demás es pura cortina de humo que den oxigeno al tirano https://t.co/GsXs27rduD"
2020-05-24T20:54:51+00:00,"@policaracasomos @jaarreaza @jorgerpsuv @nicmaduroguerra en el sector de la Vega cerca d la antigua cementera hay una gran parte d ranchos, los muy ineptos realizan quema de la Montaña quitando el poco oxígeno que la misma nos genera,para invadir y seguir contaminando el ambiente"
2020-05-24T15:32:53+00:00,"No me  cansaré de decirlo. @jguaido y @AsambleaVE son los más grandes aliados que tiene la narcodictadura. Para darle oxígeno  al dictador, son el equivalente a la selva amazónica. Que vaina con Vzla, después de haber parido un genio como Bolivar; engendra a los Caín."
2020-05-24T12:59:14+00:00,"@Rebeca_78 No soy mecano pero soñé por un momento que era aire, oxígeno, nitrógeno y calor sin forma definida."
2020-05-23T22:09:25+00:00,"El bloqueo de la gasolina iraní es fundamental. Si la supuesta gasolina llega, será ""oxígeno"" para la dictadura, eso en el mejor caso de que los guardias no comiencen a hacer negocios con ella."
