created_at,text,
2021-04-28T17:26:59+00:00,"🚑 El hijo de una amiga sufrió la picadura de un insecto en un ojo. Requiere los siguientes medicamentos:

-Dexametasona, 3 ampollas de 8mg.
- Dipirona, 1 ampolla de 1mg.
- Alergot o Azelastina en gotas.
- Loratadina en jarabe.
- Acetaminofen en jarabe.

#SanCristobal https://t.co/7Rl1EevZnY",
2021-04-24T13:36:31+00:00,Buenos días quien tenga información exacta y no precios tan abruptos para recargar Bombona de oxígeno se le agradece por la información se necesita para un vecino de otra Urbanización cercana a la que vivo,
2021-04-24T13:34:00+00:00,"@VirguezFranklin Reflexione!!  Quienes son los reales genocidas ? ... 1 bombona de oxígeno costaba 40$ y ahora 400$.... salud. Una harina pan costaba 0,70$ ahora 1,20$ Comida ...genocida es el gobierno o somos nosotros mismos !  Maldito oportunismo CRIOLLO ! Ven por qué ? No cae el sistema ! 🔺🔺",
2021-04-24T13:25:07+00:00,"Reflexione!!  Quienes son los reales genocidas ? ... 1 bombona de oxígeno costaba 40$ y ahora 400$.... salud. Una harina pan costaba 0,70$ ahora 1,20$ Comida ...genocida es el gobierno o somos nosotros mismos !  Maldito oportunismo CRIOLLO ! Ven por qué ? No cae el sistema ! 🔺🔺",
2021-04-22T14:07:09+00:00,"Muchos pagan lo que no tienen por una bombona de oxigeno...Ya son tres días quemando nuestro pulmón Vegetal frente a Terrazas del mar y Guadalupe, via el Rincón y Nadie hace nada. https://t.co/2rkMmhOdzU",
2021-04-22T00:50:53+00:00,"#ServicioPublico

Se solicita bombona de oxigeno para Carla Angola.
Se la pueden llevar a su cuenta tuiter.",
2021-04-20T23:23:45+00:00,"@LuisOlavarrieta @mich_vr Disponible Cisplatino, dexametasona, ondasetron Contacto vía WhatsApp +58 414-2539068",
2021-04-19T13:58:58+00:00,"@DUINCONSUELOC @MGVenezuela Dexametasona de 8 ml $2,50 cada ampolla",
2021-04-18T22:43:10+00:00,"@LLIANKTIRA Sí, cierto. Hace poco la OMS señaló que ese medicamento (que es un antiparasitario) no tiene ningún efecto en los pacientes con covid y pidió dejar de usarlo, al igual que la dexametasona y la hidrocloroquina.",
2021-04-18T01:06:49+00:00,"Buenas noches, por favor quien me puede colaborar e informarme donde se puede conseguir una bombona de oxígeno en 
Maracaibo,  gracias",
2021-04-17T11:51:23+00:00,"Ampolla con ye de yoyo 😱😱😱😱.

Por cierto, la OMS desestimó la efectividad de la dexametasona para tratar la covid, así como el antiparasitario ivermectina. https://t.co/qJxLDzSCLv",
2021-04-16T23:45:05+00:00,@MGVenezuela @PublServ @farmarebajas @FarmaciaWuiston @Farmarato @SOSDonaciones @DonaMed_VE Disponible Clexane de 40 mg x 2 ampollas y Dexametasona de 8 MG/2 ml. Contáctenos vía WhatsApp al número +58 414-2539068,
2021-04-16T21:35:04+00:00,"Que médicamento es su santo grial? Para mí por mucho la Dexametasona, son demasiados los usos que tiene, claro sin hacer su uso abusivo y prolongado.",
2021-04-15T14:43:52+00:00,"#ServicioPúblico El profesor Luis Dávila del CP Jesús Ma Marrero de #Guarenas requiere ayuda económica para costear los medicamentos y la recarga de la bombona de oxígeno que, gracias a Dios, su familia ya le consiguió. Cualquier aporte, por pequeño q sea, cuenta y vale mucho ❤️ https://t.co/6dYq1sb54J",
2021-04-15T03:19:34+00:00,"@rigotordoc @santiagobacci Hoy me piden opinión acerca de un caso no conocido. MC fiebre, malestar, tos. Consulta un neumonologo:eco pulmonar Dx neumonía covid19. No lab, no imágenes radiográficas. Tto: favipiravir+lomefloxacina+ Dexametasona+fraxiparina + Aspirina. Todo primera consulta. No hay derecho.",
2021-04-13T19:22:49+00:00,"Disponible Dexametasona 8mg/2ml en $2,5 cada ampolla. @BuscandoMedicin #dexametasona #farmaciaesenciavital https://t.co/Y65eQrOSgw",
2021-04-13T01:13:12+00:00,"Hola amigos nuevamente paso por acá por su ayuda. Tengo 2 bombonas de oxígeno en alquiler en Caracas, eran de mi abuelo pero lo tuvimos que hospitalizar, aún necesitamos costear los gastos de medicamentos y exámenes. Si conocen a alguien que esté en búsqueda de una bombona 1/2",
2021-04-06T20:43:12+00:00,@ElRatonJodedor Hay q decirles los arrechos respiran sin bombona de oxigeno  puuyalooo!!!,
2021-04-06T18:53:15+00:00,"La doctora que revisó a mi papá me dijo: Te doy 2 opciones, o consigues una bombona de oxigeno YA, o lo tenemos que hospitalizar de inmediato. Afortunadamente pudimos cumplir con la 1era. Mi solidaridad con todos los que se encuentran en los hospitales batallando.",
2021-04-05T23:13:47+00:00,"Buscar Oxígeno en Caracas es Misión Imposible y la nueva modalidad para estafar a los familiares de los enfermos de COVID19, el alquiler de una bombona puede costar 120$ semanales fácilmente y eso sin contar los gastos de alimentos y medicinas.",
2021-04-05T10:39:00+00:00,"@Edurodriguezg #Atiempo buenos días, me pregunto donde están todas esas pruebas rápidas y de PCR que han llegado por toneladas al país? Puede el ciudadano común pagar $60 por una PCR? $450 x bombona de oxígeno? $50 x recarga? La gente morirá en sus casas, triste realidad",
2021-04-05T01:57:35+00:00,"@NicolasMaduro Mi Sr. Pdte. Maduro, muy Buenas Noches!  Agradezco de antemano, su valioso apoyo incondicional, es para mí una Bombona. oxígeno, ya q mi Quincena No logra cubrir mis necesidades ! Tengo a mi mamá con Marca paso y tratamiento intenso! ❤️🙏🙏❤️❤️",
2021-04-04T14:39:56+00:00,"@luisfcocabezas Es evidente.....me pusé algo más de ese promedio, igual q dexametasona y antibióticos.... material medico desechable...sin dinero no me hubiese curado... se me fueron gran parte de los ahorros de mi vida....sufro por el testo delos Venezolanos",
2021-04-02T03:50:22+00:00,"""La vaina esta arrecha para el que rasguña una puya, y no tiene para pagar a cada rato 25$ por una bombona de oxígeno...
lo normal y digno es un Venezolano que administre lo mucho o poco que consigue... Por que de lo contrario, sería un carajo que viva de la droga y extorsión.",
2021-04-02T02:06:57+00:00,"@sandratmm2025 @Adiinson @droscarnoguera @Ecastillo1226 @fpachano @ConotoLlanero Eficaz sola o en asociacion con dexametasona, en las primeras 24 horas de ingreso a uci, con ventilación mecánica y en la etapa hiperiiflamatoria",
2021-04-01T03:15:38+00:00,"@AVenezuelaPaz @Karinabarbosa Lo cierto es que hay tanta información que al final es una desinformación.  Así, los antibióticos, redemsivir, dexametasona, las mismas vacunas
Pero de verdad sé de médicos q se los dan a sus empleados, y estos se lo dicen a familia y amigos y ahí se riega la información",
2021-03-31T13:26:42+00:00,No tengo ya ni fuerza para cargar una bombona de oxigeno... Esa vaina si pesa,
2021-03-30T12:43:16+00:00,@RaizaLn Hola Raíza. No se puede pasar al centro sin salvo conducto. Nadie me da la cola así. De hecho nadie ofrece la cola ni pagando. Le estoy administrando los medicamentos indicados. Ya la dexametasona no se aplica mas. Queda el antibiótico y el analgésico y orar .,
2021-03-30T03:43:25+00:00,1300 $ una bombona de oxígeno es una locura. No ae cuanto vale en realidad. Pero creo que es un exceso y evaluando que todo es así en Venezuela no me extrañaría que también hagan usura de esp.,
2021-03-30T02:09:26+00:00,"El 80 % de los pacientes con COVID-19 son leves y  en esos casos NO SE USA ni oxígeno, ni dexametasona, ni ivermectina, ni remdesivir. El tratamiento es SINTOMÁTICO . No conozco aún un acetaminofen o una loratadina que valgan más de 50 $. https://t.co/Fhdmlcic9o",
2021-03-29T07:18:33+00:00,Requiero una Bombona de oxígeno. me encuentro en Monagas Maturin Sector Brisas del aeropuerto... @alexagomez2000 @MamaLisVzla https://t.co/ZgVjP74tIe,
2021-03-29T00:52:02+00:00,"@genesisgsuarez_ @SofiaGranger Si le sirve de algo, la dexametasona viene en ampollas de 4mgs/1 cc, y trae 2 cc, es decir la ampolla es de 8 mgs.
Enoxaparina solo se consigue de 40 mgs, la de 60 prácticamente esta desaparecida, consúltelo con el médico",
2021-03-28T21:51:49+00:00,"@Aquilesv04 Es solo aire húmedo por favor, no repliquen eso. No es oxígeno ni tenemos branquias como los peces. La concentración jamás superará el 20% de PO2 incluso menos que el medio ambiente. No es cierto, es falso! Necesitan la bombona de oxígeno adicional",
2021-03-28T19:15:39+00:00,@genesisgsuarez_ @AbuelaGilvanni Disponible Enoxaparina de 1 g y dexametasona. Contáctenos por dm o WhatsApp +58 414-2539068,
2021-03-28T02:12:07+00:00,@Francortinas10 Y súmale una bombona de Oxigeno o un Concentrador. Los estados de las personas por WhatsApp son casi iguales. Donde los alquilan. 😔,
2021-03-27T22:05:02+00:00,"Voy a la farmacia. Hay seis personas delante de mí, todas comprando Azitromicina, Ivermectina, dexametasona o ""el combo anticovid"" .  ""(La covid) me está soplando la nuca Marce"" 😔 https://t.co/YpsBUQNVNI",
2021-03-27T21:10:22+00:00,#Serviciopublico en #Farmatodo hay Dexametasona de 4mg pastillas en 2.900.000Bfs y ivermentina súper económica  en comparación a otras farmacias.,
2021-03-27T18:52:00+00:00,"Porfavor es mi tío, cualquier ayuda estaremos muy agradecidos... 
La bombona de oxigeno son muy costosas y está en una etapa grave de Covid a demás del tratamiento... 
Ayúdenme a compartir porfavor!!! https://t.co/mdEVRyE4ua",
2021-03-27T15:09:07+00:00,@Fredypm @burundango1970 @Klobo91 @Samurai16157668 @RamadanMezVzla @Fooros @3lS0ld4d0R0j0 @HUS07777781 @1961Tokio @leonardo19741 @PriscilianoManu @IIuminat @Florencia90102 @Dante27579076 @CarpinteroAlejo @SanchezPinedaA2 @JuanCalosoooooo @AlexRodrilobo @Freihei77513885 @Jose33076037 @Tropatriunfante @Viejis39 @saintmayo1981 @WilfredoNc @r_taribo @kris_indignada @OnlineFighterVe @Casanay1910 @Monknk1 @thegreattiger @RiegoPineda @MirafloresEl @antoniovaldez6 @rosdabella @FratriaSpartak @yaruabella @pilarneo58 @tawfi78682819 @jmorchio @ChalecosAmarill @la_lunerita @dpiloncita @benito3fantomas @ThomasBrown2020 @HaIconn @Corsarionegro5 @ArmandoInfo @Urdanet03364722 @mbachelet @Almagro_OEA2015 Y cuál es la cifra de infección de COVID del Perú? La de Venezuela? Porque los peruanos aborto cerebral hacen cola por bombona de oxígeno? Porque en Perú se removieron autoridades por el mal manejo del COVID? Cuando Perú arregle ese desastre puedes hablar de COVID en Vzla,
2021-03-27T12:36:25+00:00,#CIUDADBOLIVAR busco concentrador o bombona de oxigeno grande urgente comunicarse al 04249466422,
2021-03-26T07:02:13+00:00,"Pienso en la cantidad de gente que anda buscando oxígeno y no tienen como pagarlo mientras los IRRESPONSABLES del gobierno lo mandan por gandolas a Brasil para pintar una de abundancia y solidaridad.
30$ vale llenar una bombona aquí @NicolasMaduro CDTM!",
2021-03-26T01:39:22+00:00,Necesito una bombona de oxigeno URGENTE para @yb_dani por favor @alexagomez2000 @Lamaestra09 @Eglisant @mcrd1972 @ptopelo @YENNY0_LEE @Tamara_Navarro @TAMARA_SUJU @_RoqueCastro @RCamachoVzla @Karinabarbosa @Karinabarbosa @GLEIDYSF @Glencys @yosoycastrillon,
2021-03-23T01:14:36+00:00,@erivasbello @juliocastrom Hay otros médicos que recomiendan la Ivermectina y hasta dexametasona. Sería maravilloso ese hilo porque hasta en internet hay confusión al respecto.,
2021-03-22T14:14:18+00:00,"Ya se volverá a ver de nuevo publicaciones dentro de sus propios contactos ALQUILO BOMBONA DE OXIGENO debido a la falta de camas en las áreas de hospitalización para los pacientes covid, si usted va a la playa y se contagia después no se queje",
2021-03-21T17:27:36+00:00,"#ServicioPublico Quien alquila Bombona de Oxígeno y se necesita  sondas numero 14,16 o18 para el vecino Luis Enrique Brito en la #IslaDeMargarita cualquier información al 04148413044 #SOLIDARIDAD  @dexcyguedez @BajoLaLupaInfo @RConfidencial @elsoldmargarita @RLOZINSKI",
2021-03-20T23:23:28+00:00,"#ServicioPúblico Para paciente con COVID-19 en #Guarenas se requiere con urgencia, en calidad de donación, lo siguiente:

√ Levofloxacina 500mg ampollas

√ Bombona de oxígeno

Contacto: Yuviris Coy
0424-1374295 https://t.co/HNhY5ndAQK",
2021-03-20T14:32:52+00:00,"¿Por qué nadie habla de la dexametasona y el uso indiscriminado que la gente, y médicos, le están dando? Aunado a eso la cantidad de médicos que la mandan cuando el paciente apenas presenta fiebre y/o cefalea y sin compromiso pulmonar, y a dosis sumamente elevadas.",
2021-03-20T03:33:04+00:00,@la_iguanatv @drodriven2 Mi amada hija por 2da vez le da covid-19 pero esta vez es más fuerte q la primera vez ya estoy buscando una bombona de oxígeno en cuidad Guayana lo hospitale colapsado la cifras de infectado y  fallecido no es la cifra real siento una gran angustia  y un terror q la hospitalince,
2021-03-19T01:15:39+00:00,"Disponible para entrega inmediata. @BuscandoMedicin @BuscoMedicinas 

#Farmacia #farmaciaesencisvital #enoxaparina #clexane #clenox #dexametasona #decobel https://t.co/NHQMJvCyKT",
2021-03-17T13:53:21+00:00,#decobel #Dexametasona #quédateencasa en Farmacia MKB 1508 C.A https://t.co/sMhYaCT8JG,
