created_at,text
2021-04-26T12:52:42+00:00,"UCI DE PRIMER MUNDO✅👏🏻

@EdwinRojasM: En la Unidad de Cuidados Intensivos del HUAPA, estamos invirtiendo más de 50 mil millones de bolívares en el acondicionamiento, rehabilitación y modernización.
#SucreProducePorVenezuela https://t.co/y6aewYHZ3E"
2021-04-26T12:51:07+00:00,"En Vivo 📻 programa La Voz De Sucre 📺
@EdwinRojasM: En la Unidad de Cuidados Intensivos del HUAPA, estamos invirtiendo más de 50 mil millones de bolívares en el acondicionamiento, rehabilitación y modernización.
#SemanaFlexible  #SucreProducePorVenezuela https://t.co/l0JX9CtaV4"
2021-04-23T13:31:15+00:00,"Cumpliendo con las orientaciones precisas del gobernador Edwin Rojas en compañía con la secretaria de gobierno Karenly Sánchez y el equipo de Infraestructura, supervisamos los avances de los trabajos de rehabilitación de la Unidad de Cuidados Intensivos del HUAPA https://t.co/DJpKkDAwjf"
2021-04-19T13:40:36+00:00,"#SALUD | Próximamente se estará inaugurando la Unidad de Cuidados Intensivos del HUAPA. 

@EdwinRojasM
#SucreEsIndependenciaYLealtad
#AbrilDeFuegoPatrio https://t.co/56Ow1iyuFk"
2021-04-19T13:30:46+00:00,"El líder sucrense @EdwinRojasM anunció que  próximamente se estará inaugurando la unidad de cuidados intensivos del HUAPA.

👉 20 nuevas camas para un total de 60 camas

@NicolasMaduro 
#AbrilDeFuegoPatrio
#SucreEsIndependenciaYLealtad https://t.co/u3t4c19QEE"
2021-04-15T02:14:43+00:00,Hasta ayer habían 265 pacientes recluidos en la unidad de cuidados intensivos (UCI) sólo a causa de la covid. A ese número debemos añadirle los pacientes que por otras condiciones clínicas y diagnósticos terminan en esa área.
2021-04-12T22:50:25+00:00,"Servicio público urgente, para paciente @frankvillafane se encuentra hospitalizado en el Hospital Carabobo y requiere con urgencia ser traslado a una Unidad de Cuidados Intensivos y el siguiente medicamento, pedimos apoyo a la sociedad y a las autoridades. Naguanagua Carabobo."
2021-04-12T17:42:07+00:00,"Pero en cualquier país del mundo hay infraestructura adecuada, ucis, camas con respiradores y personal capacitado esa es la diferencia https://t.co/lOsCFMhvgr"
2021-03-30T09:22:25+00:00,@LDeLION Allí no se hace terapia se cuida. la Unidad de cuidados Intensivos no deja de ser la misma
2021-03-24T20:41:33+00:00,"¡Qué dolor ver a tantas personas contagiadas en este momento! Nos toca cuidarnos mucho, todos hospitales de Caracas están colapsados y sin UCIs."
