possibly_sensitive,id,reply_settings,source,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,created_at,lang,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,author_id,text,geo/place_id,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,referenced_tweets/0/type,referenced_tweets/0/id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,attachments/media_keys/0,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/6/entity/description,context_annotations/7/domain/id,context_annotations/7/domain/name,context_annotations/7/domain/description,context_annotations/7/entity/id,context_annotations/7/entity/name,context_annotations/7/entity/description,attachments/media_keys/1,attachments/media_keys/2,attachments/media_keys/3,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,context_annotations/2/entity/description,context_annotations/3/entity/description,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/urls/0/status,entities/urls/0/unwound_url,context_annotations/0/entity/description,in_reply_to_user_id,context_annotations/4/entity/description,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,context_annotations/5/entity/description,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/title,entities/urls/0/description
False,1287557105558278146,everyone,Twitter for Android,195,210,0.999,Person,Jennifer Bonilla,0,16,ServicioPúblico,17,25,Táchira,136,149,SanCristóbal,2020-07-27T01:15:10+00:00,es,59,1,12,1,1287557105558278146,79901097,"#ServicioPúblico #Táchira. Se necesita con urgencia, en calidad de préstamo, alquiler o venta, un manómetro para paciente oncológico en #SanCristóbal. Si usted tiene uno por favor contáctese con Jennifer Bonilla al número +58 412-6812595, si no, ayuda a compartir este mensaje",01a73d6169f504ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1287433378887806980,everyone,Twitter for Android,1,10,0.4834,Other,Dios Santo,44,54,Venezuela,55,62,ElTema,63,69,Salud,2020-07-26T17:03:31+00:00,es,0,0,0,0,1287433378887806980,62160841,¡Dios Santo!!! Esta es la situación real en #Venezuela #ElTema #Salud #ServicioPublico #URGENTE https://t.co/iIlhpBwmt0,0198c6f108778b40,70,86,ServicioPublico,87,95,URGENTE,96,119,https://t.co/iIlhpBwmt0,https://twitter.com/MarianChavez27/status/1287217838177030149,twitter.com/MarianChavez27…,quoted,1287217838177030149,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1287366481358053377,everyone,Twitter for Android,,,,,,0,16,ServicioPúblico,,,,,,,2020-07-26T12:37:41+00:00,und,0,0,0,0,1287366481358053377,1222119208554835968,#ServicioPúblico https://t.co/sW2kSphw8K,01222aa54e8dff7a,,,,,,,17,40,https://t.co/sW2kSphw8K,https://twitter.com/alexagomez2000/status/1287221333710045186,twitter.com/alexagomez2000…,quoted,1287221333710045186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1287154757585567745,everyone,Twitter for Android,66,81,0.4885,Person,ANA MARIA BRACHO,0,16,ServicioPublico,,,,,,,2020-07-25T22:36:23+00:00,es,1,0,0,0,1287154757585567745,456870943,"#ServicioPublico
Si está en tus posibilidades, ayuda a la señora:
ANA MARIA BRACHO
Abuelita de una alumna de la @ecomunitaria
Necesita operarse de un Cáncer de mama
🖐🏻😷🏡  https://t.co/SsIfthA5Fx",01bc41ac40f6f2ff,,,,,,,171,194,https://t.co/SsIfthA5Fx,https://www.gofundme.com/f/operacion-cancer-de-mama-ana-maria-bracho?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/operacion-ca…,,,,,,,,112,125,ecomunitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1287115170138017797,everyone,Twitter for Android,,,,,,0,16,ServicioPúblico,,,,,,,2020-07-25T19:59:04+00:00,und,0,0,0,0,1287115170138017797,110590908,#ServicioPúblico https://t.co/OS8F7Aa9He,01c93e351e3122fb,,,,,,,17,40,https://t.co/OS8F7Aa9He,https://twitter.com/nelapalaciosr/status/1286726655579488257,twitter.com/nelapalaciosr/…,quoted,1286726655579488257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1287050412445638657,everyone,Twitter for Android,27,47,0.6427,Person,María García Alvarado,0,16,ServicioPúblico,,,,,,,2020-07-25T15:41:45+00:00,es,22,1,7,0,1287050412445638657,3773382736,"#ServicioPúblico Anitcelis María García Alvarado desapareció en El Dorado, municipio Sifontes, el último día de contacto con sus familiares fue el 20 de junio de 2020, si tienes alguna información por favor escríbenos al 04147987940 o al correo electrónico fullpaperca@gmail.com https://t.co/kzL8T18lxZ",01a74227630d48a8,,,,,,,279,302,https://t.co/kzL8T18lxZ,https://twitter.com/Codehciu/status/1287050412445638657/photo/1,pic.twitter.com/kzL8T18lxZ,,,,,,,,,,,64,72,0.9463,Place,El Dorado,75,92,0.348,Place,municipio Sifontes,31287050406846242816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1286743446896738310,everyone,Twitter for Android,,,,,,0,16,ServicioPublico,,,,,,,2020-07-24T19:21:58+00:00,und,1,0,3,0,1286743446896738310,1240474792664412160,#ServicioPublico https://t.co/ILYiZYRZu9,0044180c6370cf09,,,,,,,17,40,https://t.co/ILYiZYRZu9,https://twitter.com/notisandiego/status/1286743446896738310/photo/1,pic.twitter.com/ILYiZYRZu9,,,,,,,,,,,,,,,,,,,,,31286743443461611521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1286609206972473344,everyone,Twitter for Android,27,47,0.6427,Person,María García Alvarado,0,16,ServicioPúblico,,,,,,,2020-07-24T10:28:33+00:00,es,4,0,2,0,1286609206972473344,3773382736,"#ServicioPúblico Anitcelis María García Alvarado desapareció en El Dorado, municipio Sifontes, el último día de contacto con sus familiares fue el 20 de junio de 2020, si tienes alguna información por favor escríbenos al 04147987940 o al correo electrónico fullpaperca@gmail.com https://t.co/O6rinYPyyS",01a74227630d48a8,,,,,,,279,302,https://t.co/O6rinYPyyS,https://twitter.com/Codehciu/status/1286609206972473344/photo/1,pic.twitter.com/O6rinYPyyS,,,,,,,,,,,64,72,0.9463,Place,El Dorado,75,92,0.348,Place,municipio Sifontes,31286609200748072964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1286309736057634817,everyone,Twitter for Android,28,39,0.2797,Place,Estado Sucre,20,27,Cumaná,98,112,quimioterapia,248,264,ServicioPublico,2020-07-23T14:38:34+00:00,es,0,2,0,1,1286309736057634817,1280916079502594049,"Buenos días, soy de #Cumaná Estado Sucre. Ando buscando estos medicamentos para mi tratamiento de #quimioterapia. RT 
MESNA 400MG/ 12 AMP 
MESNA 400MG/ 16 TABLETAS 
IFOSFAMIDA AMP 1G/ 8 AMP
DOXORRUBICINA 50MG/ 2 AMP
@FLaPastillita
@BuscandoMedicin
#ServicioPublico
#23dejulio",0165fd44316e9f7f,265,275,23dejulio,,,,,,,,,,,,,,,,216,230,FLaPastillita,,,,,,,,,,,,231,247,BuscandoMedicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1286304945310965760,everyone,Twitter for Android,27,47,0.6427,Person,María García Alvarado,0,16,ServicioPúblico,,,,,,,2020-07-23T14:19:32+00:00,es,12,0,2,0,1286304945310965760,3773382736,"#ServicioPúblico Anitcelis María García Alvarado desapareció en El Dorado, municipio Sifontes, el último día de contacto con sus familiares fue el 20 de junio de 2020, si tienes alguna información por favor escríbenos al 04147987940 o al correo electrónico fullpaperca@gmail.com https://t.co/czJJl3uEPR",01a74227630d48a8,,,,,,,279,302,https://t.co/czJJl3uEPR,https://twitter.com/Codehciu/status/1286304945310965760/photo/1,pic.twitter.com/czJJl3uEPR,,,,,,,,,,,64,72,0.9463,Place,El Dorado,75,92,0.348,Place,municipio Sifontes,31286304939174764545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
