lang,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,geo/place_id,reply_settings,possibly_sensitive,id,text,referenced_tweets/0/type,referenced_tweets/0/id,conversation_id,source,author_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/0,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/0/entity/description,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,attachments/media_keys/1,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag
es,43,66,https://t.co/akN3MM8LnC,https://twitter.com/Leu7Sanz/status/1346290101660344321,twitter.com/Leu7Sanz/statu…,0,6,04Ene,7,23,ServicioPublico,2021-01-05T03:04:36+00:00,2,0,0,False,004240f60df38767,everyone,False,1346291481112403971,#04Ene #ServicioPublico Ayudemos con un RT https://t.co/akN3MM8LnC,quoted,1346290101660344321,1346291481112403971,Twitter for Android,99167417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,,,,,,0,16,ServicioPublico,,,,2021-01-05T00:11:19+00:00,25,0,5,False,015d19216c749864,everyone,False,1346247872937910273,"#ServicioPublico | Para la periodista Beatriz Rojas se requieren los siguientes medicamentos:
Dexametasona 8mg amp
Ranitidina 150mg pastilla
Aspirina 91 MG 
Atorvastatina 40mg 
Budesonida en inhalador
04144137891",,,1346247872937910273,Twitter for Android,229941901,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,38,50,0.9937,Person,Beatriz Rojas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
und,18,41,https://t.co/E0JWSo5HQK,http://gofundme.com/f/ayuda-a-kendrick-chavez-a-superar-del-covid,gofundme.com/f/ayuda-a-kend…,0,16,ServicioPúblico,,,,2021-01-04T13:39:11+00:00,0,0,0,False,01a73d6169f504ac,everyone,False,1346088791728119808,"#ServicioPúblico

https://t.co/E0JWSo5HQK https://t.co/7w4rDBSb33",,,1346088791728119808,Twitter for Android,632322871,,,,,,,,,,,42,65,https://t.co/7w4rDBSb33,https://twitter.com/TachiraNews/status/1346088791728119808/photo/1,pic.twitter.com/7w4rDBSb33,31346088783419236352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
und,17,40,https://t.co/XjZ9Ixbo2M,https://twitter.com/batita_gonzalez/status/1345775737937293316,twitter.com/batita_gonzale…,0,16,ServicioPublico,,,,2021-01-03T20:40:14+00:00,2,0,2,False,00d5bffa5b6661ca,everyone,False,1345832365298491392,#ServicioPublico https://t.co/XjZ9Ixbo2M,quoted,1345775737937293316,1345832365298491392,Twitter for iPhone,242739974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,279,302,https://t.co/vXJQApRn17,https://twitter.com/LidkRodelo/status/1345790668816474112/photo/1,pic.twitter.com/vXJQApRn17,0,5,3Ene,6,22,ServicioPúblico,2021-01-03T17:54:33+00:00,39,0,6,False,01c93e351e3122fb,everyone,False,1345790668816474112,"#3Ene #ServicioPúblico El Sr Pedro Ugas (91) con principio de Alzheimer está #desaparecido desde el #25Dic cuando fue visto por última vez en la parada de buses de Los Girasoles en #Guarenas 

En caso de información, por favor contactar a familiares: 0426-3367727 / 0424-2800137 https://t.co/vXJQApRn17",,,1345790668816474112,Twitter for Android,67153643,,,,,,29,38,0.6782,Person,Pedro Ugas,,,,,,31345790661526740994,77,90,desaparecido,100,106,25Dic,181,190,Guarenas,155,176,0.4055,Place,buses de Los Girasoles,,,,,,,,,,,,,,,,,,,,,,,,,,
es,278,301,https://t.co/y9s9duFGWP,https://twitter.com/bleimamr/status/1345546360347623424/photo/1,pic.twitter.com/y9s9duFGWP,0,16,ServicioPublico,,,,2021-01-03T01:43:46+00:00,5,0,0,False,01a73d6169f504ac,everyone,False,1345546360347623424,"#ServicioPublico 
Se requiere con urgencia donantes de sangre ORH+ para la niña KLEIDY VARELA de 12 años de edad quién sufrió un accidente en Barinas
Las personas que puedan y deseen salvar a esta pequeña deben dirigirse al banco de sangre del Hospital Central de San Cristóbal https://t.co/y9s9duFGWP",,,1345546360347623424,Twitter for Android,113471800,,,,,,142,148,0.9935,Place,Barinas,,,,,,31345546358258806785,,,,,,,,,,244,276,0.386,Place,Hospital Central de San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,
und,17,40,https://t.co/nqzb4L1tq3,https://twitter.com/TachiraNews/status/1345544447824683009/photo/1,pic.twitter.com/nqzb4L1tq3,0,16,ServicioPúblico,,,,2021-01-03T01:36:10+00:00,8,0,5,True,01a73d6169f504ac,everyone,False,1345544447824683009,#ServicioPúblico https://t.co/nqzb4L1tq3,,,1345544447824683009,Twitter for Android,632322871,,,,,,,,,,,,,,,,31345544438920179714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,62,85,https://t.co/3WUKQ2yRDy,https://twitter.com/Leu7Sanz/status/1345480460701495304,twitter.com/Leu7Sanz/statu…,0,16,ServicioPublico,55,61,02Ene,2021-01-02T22:30:20+00:00,2,0,0,False,004240f60df38767,everyone,False,1345497685260951553,#ServicioPublico Ayudemos Que la Solidaridad nos Mueva #02Ene https://t.co/3WUKQ2yRDy,quoted,1345480460701495304,1345497685260951553,Twitter for Android,99167417,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596752842752,Services,,,,,,,,,,,,,,,,,,,,,,,,,,47,Brand,Brands and Companies,10045225402,Twitter,,,,,,,,,,,,,,,,,,,,,
es,,,,,,47,52,Coro,74,82,Gracias,2021-01-02T17:42:00+00:00,0,0,0,False,01f090006f05e39c,everyone,False,1345425121029333001,Feliz 2021 para todos! Qué día pasa el aseo en #Coro? (Av Pinto Salinas). #Gracias #ServicioPublico #AseoUrbano #SantaAnaDeCoro,,,1345425121029333001,Twitter for iPhone,56200230,119,Holiday,Holidays like Christmas or Halloween,1319305164751163393,New Years Eve,55,70,0.8798,Place,Av Pinto Salinas,,,,,,,83,99,ServicioPublico,100,111,AseoUrbano,112,127,SantaAnaDeCoro,,,,,,,,,,,This entity includes all conversations for New Years Eve for all years.,,,,,,,,,,,,,,,,,,,,
es,110,133,https://t.co/2Oa7vQvtdB,https://www.instagram.com/p/CJjIKwXsZvV/?igshid=toxr8890f821,instagram.com/p/CJjIKwXsZvV/…,0,16,ServicioPublico,,,,2021-01-02T16:12:51+00:00,0,0,0,False,0032a06455f7e1ea,everyone,False,1345402685143408640,#ServicioPublico Este amigo se encuentra desaparecido. Ayudemos a regresar a casa. en Guacara Estado Carabobo https://t.co/2Oa7vQvtdB,,,1345402685143408640,Instagram,1105601070192119809,,,,,,86,108,0.6485,Place,Guacara Estado Carabobo,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,-67.87747264,10.22704356,,,,,,,,,,,,,,,,,
