possibly_sensitive,id,reply_settings,source,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,created_at,lang,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,author_id,text,geo/place_id,referenced_tweets/0/type,referenced_tweets/0/id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,context_annotations/0/entity/description,context_annotations/1/entity/description,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,attachments/media_keys/0,attachments/media_keys/1,attachments/media_keys/2,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/mentions/17/start,entities/mentions/17/end,entities/mentions/17/username,entities/mentions/18/start,entities/mentions/18/end,entities/mentions/18/username,entities/mentions/19/start,entities/mentions/19/end,entities/mentions/19/username,entities/mentions/20/start,entities/mentions/20/end,entities/mentions/20/username,entities/mentions/21/start,entities/mentions/21/end,entities/mentions/21/username,entities/mentions/22/start,entities/mentions/22/end,entities/mentions/22/username,entities/mentions/23/start,entities/mentions/23/end,entities/mentions/23/username,entities/mentions/24/start,entities/mentions/24/end,entities/mentions/24/username,entities/mentions/25/start,entities/mentions/25/end,entities/mentions/25/username,entities/mentions/26/start,entities/mentions/26/end,entities/mentions/26/username,entities/mentions/27/start,entities/mentions/27/end,entities/mentions/27/username,entities/mentions/28/start,entities/mentions/28/end,entities/mentions/28/username,entities/mentions/29/start,entities/mentions/29/end,entities/mentions/29/username,entities/mentions/30/start,entities/mentions/30/end,entities/mentions/30/username,entities/mentions/31/start,entities/mentions/31/end,entities/mentions/31/username,entities/mentions/32/start,entities/mentions/32/end,entities/mentions/32/username,entities/mentions/33/start,entities/mentions/33/end,entities/mentions/33/username,entities/mentions/34/start,entities/mentions/34/end,entities/mentions/34/username,entities/mentions/35/start,entities/mentions/35/end,entities/mentions/35/username,entities/mentions/36/start,entities/mentions/36/end,entities/mentions/36/username,entities/mentions/37/start,entities/mentions/37/end,entities/mentions/37/username,entities/mentions/38/start,entities/mentions/38/end,entities/mentions/38/username,entities/mentions/39/start,entities/mentions/39/end,entities/mentions/39/username,entities/mentions/40/start,entities/mentions/40/end,entities/mentions/40/username,entities/mentions/41/start,entities/mentions/41/end,entities/mentions/41/username,entities/mentions/42/start,entities/mentions/42/end,entities/mentions/42/username,entities/mentions/43/start,entities/mentions/43/end,entities/mentions/43/username,entities/mentions/44/start,entities/mentions/44/end,entities/mentions/44/username,entities/mentions/45/start,entities/mentions/45/end,entities/mentions/45/username,referenced_tweets/1/type,referenced_tweets/1/id,entities/annotations/5/start,entities/annotations/5/end,entities/annotations/5/probability,entities/annotations/5/type,entities/annotations/5/normalized_text,entities/annotations/6/start,entities/annotations/6/end,entities/annotations/6/probability,entities/annotations/6/type,entities/annotations/6/normalized_text,entities/urls/0/status,entities/urls/0/title,entities/urls/0/unwound_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/3,context_annotations/4/entity/description,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description
False,1266512494484500480,everyone,Twitter for iPhone,108,116,0.9879,Place,Venezuela,145,168,https://t.co/yITrGdHjyg,https://twitter.com/Sinmordaza/status/1264680118406066176,twitter.com/Sinmordaza/sta…,2020-05-29T23:31:24+00:00,es,0,0,0,0,1266512494484500480,345504386,"Y porque no hacemos una campaña por lo del problema mayor .de que vale pedir oxígeno sin el paciente que es Venezuela está muriendo ,no me jodas https://t.co/yITrGdHjyg",0058b0cb7e695890,quoted,1264680118406066176,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596165640192,Telco,47,Brand,Brands and Companies,10026325457,DIRECTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1266489013315211264,everyone,Instagram,20,24,0.782,Person,Karim,214,237,https://t.co/gJfN8iAdnc,https://www.instagram.com/p/CAyaYcNl1pu/?igshid=1u0bn2fet6ypb,instagram.com/p/CAyaYcNl1pu/…,2020-05-29T21:58:05+00:00,es,2,0,2,0,1266489013315211264,3063982672,"Seguimos apoyando a Karim gracias a nuestro #teampositivo #Dexametasona
.
.
#voluntariado #lamovidapositiva @movidapositivav #juntospodemoshacermasbien #ActuandoEnPositivo #Barquisimeto en Barquisimeto - Edo. Lara https://t.co/gJfN8iAdnc",012b6b2c110f0c21,,,,,,,,,,,,,Point,-69.30913515,10.06842373,189,200,0.9793,Place,Barquisimeto,204,212,0.1496,Place,Edo. Lara,44,57,teampositivo,58,71,Dexametasona,76,89,voluntariado,90,107,lamovidapositiva,125,151,juntospodemoshacermasbien,152,171,ActuandoEnPositivo,172,185,Barquisimeto,108,124,MovidaPositivaV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1266366174218108928,everyone,Twitter for Android,0,6,0.5113,Person,Jguaido,,,,,,2020-05-29T13:49:58+00:00,es,0,0,0,0,1266366174218108928,253095655,"Jguaido saca la baraja del TIAR para agarrar oxígeno, la verdad es para alargar el tiempo que le queda poco.",01c93e351e3122fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1266348360295952384,everyone,Twitter for Android,94,95,0.471,Organization,AN,116,139,https://t.co/OJxW55El9v,https://twitter.com/alcaldeledezma/status/1266312762478800896,twitter.com/alcaldeledezma…,2020-05-29T12:39:11+00:00,es,6,1,4,1,1266348360295952384,1240633133931864066,Jijiji pataletas de ahogados...se les acaba el oxígeno pidan taima vale..las elecciones de la AN bien cerquita papa https://t.co/OJxW55El9v,016eb87b25e8a354,quoted,1266312762478800896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1266148601769623554,everyone,Twitter for Android,,,,,,245,268,https://t.co/9iPxEJrqDW,https://twitter.com/mvortega2/status/1266132626974400513,twitter.com/mvortega2/stat…,2020-05-28T23:25:25+00:00,es,0,0,0,0,1266148601769623554,154265360,"Ésa es una manera de ver las cosas. Otra sería entender que, sin problemas de gasolina, se activa el transporte y la vida económica. Las vías de comunicación son como las venas y arterias del cuerpo, son las que llevan el oxígeno a todos lados. https://t.co/9iPxEJrqDW",012af435641420c7,quoted,1266132626974400513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1266119453194031106,everyone,Twitter for iPhone,,,,,,,,,,,2020-05-28T21:29:35+00:00,es,0,0,0,0,1265918705545940992,82462112,@TAMARA_SUJU Tampoco es que la abstención haya llevado a ningún lado; y prestó 6 añitos de “oxígeno” Así que traidor your nalgas.,015cbec154ca1c9c,replied_to,1265918705545940992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,TAMARA_SUJU,80047141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1266097653215043585,everyone,Twitter for Android,11,22,0.9961,Person,Maria Corina,57,80,https://t.co/Z7QkwIouRu,https://twitter.com/Jovel_Alvarez/status/1265745895586480131,twitter.com/Jovel_Alvarez/…,2020-05-28T20:02:58+00:00,es,0,0,2,0,1266097653215043585,1186352437998825473,Se conecto Maria Corina....para darle oxigeno a @jguaido https://t.co/Z7QkwIouRu,0058b0cb7e695890,quoted,1265745895586480131,10,Person,Named people in the world like Nelson Mandela,1085232510924029952,Juan Guaido,35,Politician,"Politicians in the world, like Joe Biden",1085232510924029952,Juan Guaido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,56,jguaido,,Juan Guaido,Juan Guaido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1265949240020267011,everyone,Instagram,190,203,0.9793,Place,Puerto La Cruz,208,231,https://t.co/oqbqOrTTkz,https://www.instagram.com/p/CAuk7FejMqN/?igshid=xhl1c5m0z2hc,instagram.com/p/CAuk7FejMqN/…,2020-05-28T10:13:13+00:00,es,0,0,0,0,1265949240020267011,223657182,"Un Hijo Es VIDA
Un Hijo Es OXIGENO
Un Hijo Es FUERZA
Un Hijo Es AMOR
Un hijo Es LUZ
Un Hijo Es Un PEDAZO DE CORAZÓN 
Un Hijo Dá Una RAZÓN 
Más Para SOÑAR ,
AMAR Y VIVIR.!!
#oderrodriguez en Puerto La Cruz ,… https://t.co/oqbqOrTTkz",00ec4c32070f5076,,,,,,,,,,,,,Point,-66.90449235,10.47873118,,,,,,,,,,,172,186,oderrodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1265776207427182593,everyone,Instagram,54,59,0.9886,Person,Hilary,215,238,https://t.co/RA6w6ZhSyq,https://www.instagram.com/p/CAtWPNHlqvA/?igshid=180eklwwczm40,instagram.com/p/CAtWPNHlqvA/…,2020-05-27T22:45:39+00:00,es,1,0,1,0,1265776207427182593,3063982672,"Miren quién recibió su #Dexametasona nuestra guerrera Hilary! Por cierto, su abuela no cree que hice la marquesa, tendré que grabar un video del paso a paso para la próxima 😂😂😂 Quedan muy ricas porque las hago con… https://t.co/RA6w6ZhSyq",012b6b2c110f0c21,,,,,,,,,,,,,Point,-69.30913515,10.06842373,,,,,,,,,,,23,36,Dexametasona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1265632812901847041,everyone,Twitter for Android,,,,,,,,,,,2020-05-27T13:15:51+00:00,es,0,0,0,0,1265381235876118528,104267271,@AsambleaVE @unidadvenezuela Verga que desperdició de oxígeno son todos ustedes,00ec4c32070f5076,replied_to,1265381235876118528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,AsambleaVE,4744395743,,,12,28,unidadvenezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
