source,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,attachments/media_keys/0,attachments/media_keys/1,possibly_sensitive,conversation_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,geo/place_id,id,reply_settings,author_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,lang,text,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,context_annotations/0/entity/description,context_annotations/1/entity/description,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/mentions/17/start,entities/mentions/17/end,entities/mentions/17/username,entities/mentions/18/start,entities/mentions/18/end,entities/mentions/18/username,entities/mentions/19/start,entities/mentions/19/end,entities/mentions/19/username,entities/mentions/20/start,entities/mentions/20/end,entities/mentions/20/username,entities/mentions/21/start,entities/mentions/21/end,entities/mentions/21/username,entities/mentions/22/start,entities/mentions/22/end,entities/mentions/22/username,entities/mentions/23/start,entities/mentions/23/end,entities/mentions/23/username,entities/mentions/24/start,entities/mentions/24/end,entities/mentions/24/username,entities/mentions/25/start,entities/mentions/25/end,entities/mentions/25/username,entities/mentions/26/start,entities/mentions/26/end,entities/mentions/26/username,entities/mentions/27/start,entities/mentions/27/end,entities/mentions/27/username,entities/mentions/28/start,entities/mentions/28/end,entities/mentions/28/username,entities/mentions/29/start,entities/mentions/29/end,entities/mentions/29/username,entities/mentions/30/start,entities/mentions/30/end,entities/mentions/30/username,entities/mentions/31/start,entities/mentions/31/end,entities/mentions/31/username,entities/mentions/32/start,entities/mentions/32/end,entities/mentions/32/username,entities/mentions/33/start,entities/mentions/33/end,entities/mentions/33/username,entities/mentions/34/start,entities/mentions/34/end,entities/mentions/34/username,entities/mentions/35/start,entities/mentions/35/end,entities/mentions/35/username,entities/mentions/36/start,entities/mentions/36/end,entities/mentions/36/username,entities/mentions/37/start,entities/mentions/37/end,entities/mentions/37/username,entities/mentions/38/start,entities/mentions/38/end,entities/mentions/38/username,entities/mentions/39/start,entities/mentions/39/end,entities/mentions/39/username,entities/mentions/40/start,entities/mentions/40/end,entities/mentions/40/username,entities/mentions/41/start,entities/mentions/41/end,entities/mentions/41/username,entities/mentions/42/start,entities/mentions/42/end,entities/mentions/42/username,entities/mentions/43/start,entities/mentions/43/end,entities/mentions/43/username,entities/mentions/44/start,entities/mentions/44/end,entities/mentions/44/username,entities/mentions/45/start,entities/mentions/45/end,entities/mentions/45/username,entities/mentions/46/start,entities/mentions/46/end,entities/mentions/46/username,entities/mentions/47/start,entities/mentions/47/end,entities/mentions/47/username,entities/mentions/48/start,entities/mentions/48/end,entities/mentions/48/username,entities/mentions/49/start,entities/mentions/49/end,entities/mentions/49/username,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,attachments/media_keys/2,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/3,context_annotations/2/entity/description,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/urls/1/unwound_url
Twitter for Android,268,291,https://t.co/7Rl1EevZnY,https://twitter.com/pedroluisduque/status/1387458337034444801/photo/1,pic.twitter.com/7Rl1EevZnY,268,291,https://t.co/7Rl1EevZnY,https://twitter.com/pedroluisduque/status/1387458337034444801/photo/1,pic.twitter.com/7Rl1EevZnY,254,267,SanCristobal,"3,13874583270939E+019","3,13874583322613E+019",False,"1,38745833703444E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01a73d6169f504ac,"1,38745833703444E+018",everyone,76137383,2021-04-28T17:26:59+00:00,17,2,1,0,es,"🚑 El hijo de una amiga sufrió la picadura de un insecto en un ojo. Requiere los siguientes medicamentos:

-Dexametasona, 3 ampollas de 8mg.
- Dipirona, 1 ampolla de 1mg.
- Alergot o Azelastina en gotas.
- Loratadina en jarabe.
- Acetaminofen en jarabe.

#SanCristobal https://t.co/7Rl1EevZnY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38595078620785E+018",,,,,,015d19216c749864,"1,38595078620785E+018",everyone,1604386350,2021-04-24T13:36:31+00:00,0,1,0,0,es,Buenos días quien tenga información exacta y no precios tan abruptos para recargar Bombona de oxígeno se le agradece por la información se necesita para un vecino de otra Urbanización cercana a la que vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38594306318548E+018",,,,,,0198c6f108778b40,"1,38595015227655E+018",everyone,"1,33999914373397E+018",2021-04-24T13:34:00+00:00,0,0,0,0,es,"@VirguezFranklin Reflexione!!  Quienes son los reales genocidas ? ... 1 bombona de oxígeno costaba 40$ y ahora 400$.... salud. Una harina pan costaba 0,70$ ahora 1,20$ Comida ...genocida es el gobierno o somos nosotros mismos !  Maldito oportunismo CRIOLLO ! Ven por qué ? No cae el sistema ! 🔺🔺",0,16,VirguezFranklin,539280264,replied_to,"1,38594306318548E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38594791618823E+018",,,,,,0198c6f108778b40,"1,38594791618823E+018",everyone,"1,33999914373397E+018",2021-04-24T13:25:07+00:00,0,0,5,0,es,"Reflexione!!  Quienes son los reales genocidas ? ... 1 bombona de oxígeno costaba 40$ y ahora 400$.... salud. Una harina pan costaba 0,70$ ahora 1,20$ Comida ...genocida es el gobierno o somos nosotros mismos !  Maldito oportunismo CRIOLLO ! Ven por qué ? No cae el sistema ! 🔺🔺",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,180,203,https://t.co/2rkMmhOdzU,https://twitter.com/Yadira_Virgo/status/1385233720173543426/photo/1,pic.twitter.com/2rkMmhOdzU,,,,,,,,,"3,13852336738307E+019",,False,"1,38523372017354E+018",,,,,,018deff91b0b23b7,"1,38523372017354E+018",everyone,1388509382,2021-04-22T14:07:09+00:00,0,0,0,0,es,"Muchos pagan lo que no tienen por una bombona de oxigeno...Ya son tres días quemando nuestro pulmón Vegetal frente a Terrazas del mar y Guadalupe, via el Rincón y Nadie hace nada. https://t.co/2rkMmhOdzU",,,,,,,117,132,0.8772,Place,Terrazas del mar,136,144,0.6676,Place,Guadalupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,0,16,ServicioPublico,,,False,"1,38503333206963E+018",10,Person,Named people in the world like Nelson Mandela,"1,1380916025875E+018",Carla Angola,0032a06455f7e1ea,"1,38503333206963E+018",everyone,116740158,2021-04-22T00:50:53+00:00,0,0,2,0,es,"#ServicioPublico

Se solicita bombona de oxigeno para Carla Angola.
Se la pueden llevar a su cuenta tuiter.",,,,,,,54,65,0.9729,Person,Carla Angola,,,,,,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,"7,81974596752843E+017",Services,47,Brand,Brands and Companies,10045225402,Twitter,94,Journalist,A journalist like 'Anderson Cooper',"1,1380916025875E+018",Carla Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38461119636035E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01bc41ac40f6f2ff,"1,38464901374881E+018",everyone,"1,14863325752687E+018",2021-04-20T23:23:45+00:00,1,0,2,0,es,"@LuisOlavarrieta @mich_vr Disponible Cisplatino, dexametasona, ondasetron Contacto vía WhatsApp +58 414-2539068",0,16,LuisOlavarrieta,109057415,replied_to,"1,38461119636035E+018",37,46,0.3634,Place,Cisplatino,87,94,0.8477,Product,WhatsApp,,,,,,,,,,,,,,,,17,25,mich_vr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38398534142659E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,01bc41ac40f6f2ff,"1,3841444969511E+018",everyone,"1,14863325752687E+018",2021-04-19T13:58:58+00:00,0,0,0,0,pt,"@DUINCONSUELOC @MGVenezuela Dexametasona de 8 ml $2,50 cada ampolla",0,14,DUINCONSUELOC,2463836414,replied_to,"1,38401073902364E+018",,,,,,,,,,,,,,,,,,,,,,,,,,15,27,MGVenezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38390629993128E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,004ea55b013fa89f,"1,38391402479495E+018",everyone,81227712,2021-04-18T22:43:10+00:00,1,1,3,0,es,"@LLIANKTIRA Sí, cierto. Hace poco la OMS señaló que ese medicamento (que es un antiparasitario) no tiene ningún efecto en los pacientes con covid y pidió dejar de usarlo, al igual que la dexametasona y la hidrocloroquina.",0,11,LLIANKTIRA,108825957,replied_to,"1,38390860023028E+018",37,39,0.8923,Organization,OMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter for Android,,,,,,,,,,,,,,,,False,"1,38358778795007E+018",,,,,,01be351754bcbe13,"1,38358778795007E+018",everyone,132371425,2021-04-18T01:06:49+00:00,0,0,0,0,es,"Buenas noches, por favor quien me puede colaborar e informarme donde se puede conseguir una bombona de oxígeno en 
Maracaibo,  gracias",,,,,,,114,123,859,Place,Maracaibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
