possibly_sensitive,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,lang,created_at,author_id,id,text,source,conversation_id,reply_settings,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,in_reply_to_user_id,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,referenced_tweets/0/type,referenced_tweets/0/id,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/0,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,geo/place_id,context_annotations/1/entity/description,context_annotations/2/entity/description,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag
False,2,2,11,0,es,2021-04-13T22:54:38+00:00,3121909311,1382104971148136452,"Qué horrible que en Venezuela todo está colapsado, los estados de la gente full de campañas gofoundme, gente pidiendo dinero y todxs conocemos al menos 1 persona que está grave por el virus pero el régimen dando los balances ique ""5 muertos por covid en el pais"" 😝😝😝",Twitter Web App,1382104971148136452,everyone,20,28,0.9985,Place,Venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,5,0,1,0,es,2021-04-12T19:53:10+00:00,147589125,1381696918804369409,"Desde el #1Abr se han abierto 210 campañas de GoFoundMe para cubrir gastos médicos por covid-19. Hay campañas que buscan recaudar desde $2.000 hasta $100.000, en las cuales siempre se hace énfasis en la precaria situación hospitalaria de Venezuela https://t.co/92niOu75dH",Twitter Web App,1381696870775394304,everyone,46,54,0.4052,Organization,GoFoundMe,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,147589125,9,14,1Abr,248,271,https://t.co/92niOu75dH,https://bit.ly/3a6xqYB,bit.ly/3a6xqYB,200,Página no encontrada - TalCual,"Lo sentimos, la página que has buscado no existe en nuestro contenido! Tal vez le gustaría ir a nuestra página web o intente buscar a continuación. ¿O intente navegar por las últimas publicaciones?",https://talcualdigital.com/gofundme-y-servicios-publicos-la-salida-de-los-venezolanos-para-enfrentar-la-covid-19/,238,246,0.9796,Place,Venezuela,replied_to,1381696909824421895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1,0,0,0,es,2021-04-09T14:42:17+00:00,1180076120,1380531519635218433,Venezuela recurre a GoFoundMe para luchar contra el Covid-19 - https://t.co/gBVWf5yI90 #9Abr #venezuela #coronavirus @VozdeAmerica Redacción: @JoalexPinango https://t.co/nbtNW0S88z,elperiodicodm,1380531519635218433,everyone,0,8,0.9347,Place,Venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,87,92,9Abr,63,86,https://t.co/gBVWf5yI90,https://is.gd/hNUMuT,is.gd/hNUMuT,,,,,20,28,0.4122,Person,GoFoundMe,,,93,103,venezuela,104,116,coronavirus,117,130,VozdeAmerica,142,156,JoalexPinango,157,180,https://t.co/nbtNW0S88z,https://twitter.com/elPeriodicoDM/status/1380531519635218433/photo/1,pic.twitter.com/nbtNW0S88z,31380531517752016896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,0,0,0,0,en,2021-04-06T07:08:20+00:00,867121033,1379330115646132226,"My Twitter/Facebook feeds are full of GoFoundMe campaigns for #COVIDー19 treatments. In Venezuela the lack of a functional health system means that if you or your family member get severe Covid, you have to rely on the charity of others to have any chance to survive it. https://t.co/gr3uXdJTu3",Twitter for iPhone,1379330115646132226,everyone,3,9,0.5721,Product,Twitter,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596752842752,Services,,62,71,COVIDー19,270,293,https://t.co/gr3uXdJTu3,https://twitter.com/LuisCarlos/status/1379203638082613253,twitter.com/LuisCarlos/sta…,,,,,11,18,0.5937,Organization,Facebook,quoted,1379203638082613253,,,,,,,,,,,,,,,,,,,38,46,0.4701,Organization,GoFoundMe,87,95,0.9496,Place,Venezuela,47,Brand,Brands and Companies,10029202045,Facebook,47,Brand,Brands and Companies,10045225402,Twitter,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,
False,8,1,15,0,es,2021-04-05T17:46:05+00:00,153504287,1379128221464166407,"@Simonovis Con Razón eso explicaría que 👉 El Tweter en Venezuela está Lleno de Gofoundme, Gatitos, Perritos, COVID 😓😓😓 Hasta cuando Diooooosssss 😖 Ni una sola noticia importante.....😖😖😖",Twitter for Android,1379117990696923139,everyone,56,64,0.9958,Place,Venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,55558616,,,,,,,,,,,,,,,,,,replied_to,1379117990696923139,,,,,,,0,10,Simonovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,1,0,0,0,es,2021-04-05T06:03:35+00:00,151280265,1378951430657216516,No quiero ver mas gofoundme de personas con covid en venezuela 🥺,Twitter for iPhone,1378951430657216516,everyone,53,61,0.9759,Place,venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,0,4,1,0,es,2021-03-31T16:18:05+00:00,101581292,1377294135175090193,"Gracias a los que se pondrán de rodillas por Venezuela se irá el COVID y hasta el chavismo del país.

Pajúos, vayan a donar en los cientos de GoFoundMe que hay por ahí.

Mi hermano @ArgenisFC anda vendiendo rodilleras a 5$ para que no se dañen las rodillitas.

#TuitDeOdio",Twitter for Android,1377294135175090193,everyone,45,53,0.9934,Place,Venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,261,272,TuitDeOdio,,,,,,,,,,142,150,0.3652,Place,GoFoundMe,,,,,,,,,181,191,ArgenisFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,10,6,16,0,es,2021-03-29T19:57:40+00:00,63383723,1376624618031697927,"Lo cierto es que nadie debería verse en la necesidad de hacer un GoFoundMe para pagar el tratamiento contra el Covid-19.

Que distinto sería si Venezuela (con la misma vehemencia con la vilipendian a iguales) exigieran vacunas contra el Covid-19 y un sistema de salud digno.",Twitter for Android,1376624618031697927,everyone,144,152,0.9777,Place,Venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,237,241,0.4242,Organization,Covid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,5,0,1,0,es,2021-03-29T15:12:22+00:00,211576745,1376552820556595203,"Es mi abuelito que está muy mal, si pueden ayudarme difundiendo lo agradecería eternamente 🙏🏻 #COVID19 #Venezuela #ayuda #gofoundme #COVID 

https://t.co/uww5LBnGfz https://t.co/XVTJjzFppJ",Twitter for iPhone,1376552820556595203,everyone,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,94,102,COVID19,141,164,https://t.co/uww5LBnGfz,https://gofund.me/691557e3,gofund.me/691557e3,,,,,,,,,,,,103,113,Venezuela,114,120,ayuda,,,,,,,165,188,https://t.co/XVTJjzFppJ,https://twitter.com/barbaragarciadm/status/1376552820556595203/photo/1,pic.twitter.com/XVTJjzFppJ,31376552814776889354,,,,,,,,,,,,,,,,,,,,,,,,,,121,131,gofoundme,132,138,COVID,,,,,,,,,,,,,,,
False,0,0,1,0,es,2021-03-29T09:19:13+00:00,35639042,1376463948904607752,Ya no puedo ver más GoFoundMe y gente pidiendo oxigeno. Un año después y Venezuela de verdad está en su peor momento con el Covid. Da miedo en serio.,Twitter for Android,1376463948904607752,everyone,73,81,0.9699,Place,Venezuela,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
