public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,created_at,lang,reply_settings,id,possibly_sensitive,conversation_id,author_id,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,source,text,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/urls/0/status,entities/urls/0/unwound_url,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,referenced_tweets/0/type,referenced_tweets/0/id,in_reply_to_user_id,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/0,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/0/entity/description,context_annotations/4/entity/description,context_annotations/5/entity/description,context_annotations/3/entity/description,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/7/domain/id,context_annotations/7/domain/name,context_annotations/7/domain/description,context_annotations/7/entity/id,context_annotations/7/entity/name,context_annotations/8/domain/id,context_annotations/8/domain/name,context_annotations/8/domain/description,context_annotations/8/entity/id,context_annotations/8/entity/name,context_annotations/9/domain/id,context_annotations/9/domain/name,context_annotations/9/domain/description,context_annotations/9/entity/id,context_annotations/9/entity/name,context_annotations/10/domain/id,context_annotations/10/domain/name,context_annotations/10/domain/description,context_annotations/10/entity/id,context_annotations/10/entity/name,context_annotations/11/domain/id,context_annotations/11/domain/name,context_annotations/11/domain/description,context_annotations/11/entity/id,context_annotations/11/entity/name,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,entities/hashtags/12/start,entities/hashtags/12/end,entities/hashtags/12/tag,entities/hashtags/13/start,entities/hashtags/13/end,entities/hashtags/13/tag,entities/hashtags/14/start,entities/hashtags/14/end,entities/hashtags/14/tag,entities/hashtags/15/start,entities/hashtags/15/end,entities/hashtags/15/tag,entities/hashtags/16/start,entities/hashtags/16/end,entities/hashtags/16/tag,entities/hashtags/17/start,entities/hashtags/17/end,entities/hashtags/17/tag,entities/hashtags/18/start,entities/hashtags/18/end,entities/hashtags/18/tag,entities/hashtags/19/start,entities/hashtags/19/end,entities/hashtags/19/tag,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,geo/place_id,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text
21,0,6,0,2020-09-17T03:54:56+00:00,es,everyone,1306441480068902912,True,1306441480068902912,62258774,9,12,0.7933,Person,René,35,91,0.2502,Other,Medicina Interna del Hospital Universitario de Los Andes,96,101,0.9811,Place,Mérida,104,112,0.971,Place,Venezuela,149,172,https://t.co/DD1Oy4f0CK,https://www.gofundme.com/f/para-que-rene-gane-la-batalla-contra-la-covid19?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/para-que-ren…,Twitter for Android,"Para que René, Medico residente de Medicina Interna del Hospital  Universitario de Los Andes en Mérida, Venezuela gane la batalla contra la COVID-19 https://t.co/DD1Oy4f0CK

Favor RT",123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,2020-09-17T02:22:24+00:00,es,everyone,1306418194438074369,False,1306418194438074369,90191381,146,153,0.9905,Place,Acarigua,157,165,0.7117,Place,Venezuela,,,,,,,,,,,228,251,https://t.co/QzSzAN7bi0,https://www.gofundme.com/f/unidos-por-pragedes?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,gofundme.com/f/unidos-por-p…,Twitter for Android,"¡Atención!

La abuela de una amiga presenta #Covid_19 y esta muy grave, piden una cantidad de dinero elevada para su tratamiento, se encuentra en Acarigua - Venezuela.

Les agradecería colaborar con lo que este a su alcance ⤵️🙏
https://t.co/QzSzAN7bi0",123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,44,53,Covid_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0,2020-09-16T19:39:18+00:00,es,everyone,1306316752469585923,False,1306316752469585923,35009871,23,31,0.9984,Place,Venezuela,85,95,0.9802,Person,José Jaimes,,,,,,,,,,,256,279,https://t.co/R1vOjLX2Zj,https://www.gofundme.com/f/let039s-support-the-jaime039s-family,gofundme.com/f/let039s-supp…,Twitter for iPhone,"Parte de mi familia en Venezuela está sufriendo por el COVID-19: el papa de mi primo José Jaimes murió el 23 agosto, una semana de haber sentido los síntomas; su esposa, mi prima, está ingresada de emergencia por presentar grandes problemas para respirar  https://t.co/R1vOjLX2Zj",123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,200,https://www.gofundme.com/f/let039s-support-the-jaime039s-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,2020-09-15T01:51:55+00:00,en,everyone,1305685750294417410,False,1305685750294417410,75207629,211,219,0.9903,Place,Venezuela,,,,,,,,,,,,,,,,219,242,https://t.co/voCk6PsGlH,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/treatment-fo…,Twitter for iPhone,"My best friend @CristinaAmazon has family who is struggling-  if anyone is able to support it would be greatly appreciated!!   Thank you 🙏 and blessings to you and yours 🥰

COVID-19 Treatment for my family in Venezuela https://t.co/voCk6PsGlH",123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,15,30,CristinaAmazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,0,2020-09-14T22:50:18+00:00,es,everyone,1305640044305276928,False,1305640044305276928,46226474,64,68,0.2408,Person,Covid,76,84,0.9926,Place,Venezuela,,,,,,,,,,,87,110,https://t.co/nRL4v9vRpV,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=m_pd+share-sheet,gofundme.com/f/treatment-fo…,Twitter Web App,Esta familia necesita el apoyo de todos: madre e hijo están con Covid-19 en Venezuela. https://t.co/nRL4v9vRpV,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,65,Interests and Hobbies Vertical,"Top level interests and hobbies groupings, like Food or Travel",864925500627484672,Family and life stages,Family and Life Stages,66,Interests and Hobbies Category,"A grouping of interests and hobbies entities, like Novelty Food or Destinations",847545709800767488,Moms,Moms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2020-09-14T22:49:30+00:00,en,everyone,1305639843217768454,False,1305639843217768454,1155567752461127680,36,44,0.9919,Place,Venezuela,,,,,,,,,,,,,,,,46,69,https://t.co/78QAy4TxYD,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/treatment-fo…,Twitter for iPhone,COVID-19 Treatment for my family in Venezuela https://t.co/78QAy4TxYD,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2020-09-14T02:49:57+00:00,en,everyone,1305337963526729728,False,1305337963526729728,40710066,36,44,0.9919,Place,Venezuela,,,,,,,,,,,,,,,,46,69,https://t.co/K2pgUKRlaO,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/treatment-fo…,Twitter for iPhone,COVID-19 Treatment for my family in Venezuela https://t.co/K2pgUKRlaO,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2020-09-14T02:11:48+00:00,es,everyone,1305328365818253313,False,1305328365818253313,45317706,36,44,0.9054,Place,Venezuela,,,,,,,,,,,,,,,,74,97,https://t.co/b4RgzQxxzi,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/treatment-fo…,Twitter for Android,COVID-19 Treatment for my family in Venezuela agradecer es mejor ayudando https://t.co/b4RgzQxxzi,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2020-09-14T01:49:18+00:00,en,everyone,1305322701133938695,False,1305322701133938695,151612953,43,51,0.9923,Place,Venezuela,,,,,,,,,,,,,,,,53,76,https://t.co/HyPDVD7opl,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/treatment-fo…,Twitter Web App,"Repost
COVID-19 Treatment for my family in Venezuela https://t.co/HyPDVD7opl",123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,1,2020-09-14T01:42:20+00:00,en,everyone,1305320948179128321,True,1305320948179128321,1223476099428032516,36,44,0.9919,Place,Venezuela,,,,,,,,,,,,,,,,46,69,https://t.co/EjOC9iY8QC,https://www.gofundme.com/f/treatment-for-my-dad-lindorf?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/treatment-fo…,Twitter for iPhone,COVID-19 Treatment for my family in Venezuela https://t.co/EjOC9iY8QC,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
