id,author_id,geo/place_id,lang,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,source,conversation_id,possibly_sensitive,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,reply_settings,text,created_at,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,attachments/media_keys/0,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,in_reply_to_user_id,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,attachments/media_keys/1,attachments/media_keys/2,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/urls/0/status,entities/urls/0/unwound_url,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,referenced_tweets/0/type,referenced_tweets/0/id,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag
1384877736729120769,118116171,008eb02a542ac3d4,es,84,107,https://t.co/IXleUgvnBs,https://gofund.me/79dfbca1,gofund.me/79dfbca1,0,16,ServicioPublico,Twitter for iPhone,1384877736729120769,False,0,0,0,0,everyone,"#ServicioPublico Les pido su colaboración para difundir o donar 🙏🏻 Es para mi papá 
https://t.co/IXleUgvnBs",2021-04-21T14:32:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381641799073157127,15246855,07d9e4eaaec80001,es,224,247,https://t.co/ruaWTKaiAy,https://gofund.me/18cf2956,gofund.me/18cf2956,0,16,ServicioPublico,Twitter for iPhone,1381641799073157127,False,2,1,1,0,everyone,"#ServicioPublico

Ayuda al Mtro. Rugeles para superar COVID

El Maestro  Alfredo Rugeles atraviesa una situación de salud delicada, acaba de ser diagnosticado de Covid-19 y fue hospitalizado por deficiencias respiratorias 

https://t.co/ruaWTKaiAy",2021-04-12T16:14:09+00:00,54,59,0.356,Person,COVID,73,87,0.5169,Person,Alfredo Rugeles,162,166,0.3615,Place,Covid,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380922577850396682,1044317006621798400,00ec4c32070f5076,es,78,101,https://t.co/0EMCtjjJYU,https://gofund.me/9cf64ac0,gofund.me/9cf64ac0,0,8,10Abril,Twitter for Android,1380922577850396682,False,7,0,0,0,everyone,"#10Abril. #ServicioPúblico 

#URGENTE Juan M Guerra necesita de ti (COVID-19) https://t.co/0EMCtjjJYU",2021-04-10T16:36:13+00:00,38,50,0.6133,Person,Juan M Guerra,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,10,26,ServicioPúblico,29,37,URGENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379808960367190020,21964479,00ec4c32070f5076,es,141,164,https://t.co/j9k1Hx5bzw,https://twitter.com/Auxi1984/status/1379808960367190020/photo/1,pic.twitter.com/j9k1Hx5bzw,0,16,ServicioPublico,Twitter for Android,1379808960367190020,False,0,2,0,1,everyone,"#ServicioPublico #Caracas Busco Remdisivir en ampolla para unos primos que tienen #Covid_19 

Si tienen información, porfa escríbanme al DM. https://t.co/j9k1Hx5bzw",2021-04-07T14:51:06+00:00,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,17,25,Caracas,82,91,Covid_19,31379808958525870087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379222787223650304,111795210,01c93e351e3122fb,es,,,,,,0,16,ServicioPublico,Twitter for Android,1379222787223650304,False,2,0,0,0,everyone,#ServicioPublico | Para paciente con fibrosis pulmonar (Covid-19) en Caracas se requiere con carácter de urgencia Pirfenidona (Esbriet). ¡Gracias!,2021-04-06T00:01:51+00:00,69,75,0.9958,Place,Caracas,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377587509450862595,1105601070192119809,015d19216c749864,es,204,227,https://t.co/drF4DwPC9E,https://www.instagram.com/p/CNH0IU_sjrZ/?igshid=1829hddpoddn0,instagram.com/p/CNH0IU_sjrZ/…,0,16,ServicioPublico,Instagram,1377587509450862595,False,0,0,0,0,everyone,"#ServicioPublico #MarbelisMiranda

Hoy necesita de nosotros.

Pedimos hoy, una mano amiga para que nuestra amiga pueda tener todos los recursos para enfrentar la COVID-19.

#PorLaSaludYLaVida en Carabobo https://t.co/drF4DwPC9E",2021-04-01T11:43:51+00:00,195,202,0.9894,Place,Carabobo,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,17,33,MarbelisMiranda,173,191,PorLaSaludYLaVida,,Point,-67.98,10.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377341868011229184,1260764204082049024,00ec4c32070f5076,es,213,236,https://t.co/kEwtMFemeP,https://twitter.com/Sentir_UCVista/status/1377341868011229184/photo/1,pic.twitter.com/kEwtMFemeP,0,16,ServicioPublico,Twitter for Android,1377341868011229184,False,14,0,9,1,everyone,"#ServicioPublico | Se requiere con carácter de urgencia, para paciente COVID-19+ familiar de estudiantes de la #UCV

⚠️ Concentrador de Oxígeno de 10L ⚠️

Cualquier tipo de información, contactar al: 0414-2335964 https://t.co/kEwtMFemeP",2021-03-31T19:27:45+00:00,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,111,115,UCV,,,,31377341862390956042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377338834585747457,2539085183,00ec4c32070f5076,es,163,186,https://t.co/MLpmBp9kye,https://twitter.com/valeriaaortizm/status/1377338834585747457/photo/1,pic.twitter.com/MLpmBp9kye,0,16,ServicioPublico,Twitter for iPhone,1377338834585747457,False,0,0,0,0,everyone,"#ServicioPublico Se solicita concentrador de oxígeno de 10lts para paciente de 67 años con COVID-19. 

Tío de mi amiga Maria Caiafa
Cualquier cosa al 0424-2559888 https://t.co/MLpmBp9kye",2021-03-31T19:15:42+00:00,56,60,0.2393,Organization,10lts,119,130,0.9571,Person,Maria Caiafa,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,31377338826285273092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376983195502182409,21964479,00ec4c32070f5076,es,128,151,https://t.co/FtoKhqGxnN,https://www.gofundme.com/f/fondos-de-ayuda-para-yajaira-por-covid19?utm_source=whatsapp-visit&utm_medium=chat&utm_campaign=p_cp+share-sheet,gofundme.com/f/fondos-de-ay…,14,30,ServicioPublico,Twitter for Android,1376983195502182409,False,6,0,2,0,everyone,"@fundasperven #ServicioPublico 
Yajaira necesita apoyo para superar la COVID-19. Más detalles, link de GoFundMe para ayudarla👇:
https://t.co/FtoKhqGxnN
@torresale71 @GreyMena",2021-03-30T19:42:31+00:00,32,38,0.4958,Person,Yajaira,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,0,13,fundasperven,152,164,torresale71,165,174,GreyMena,399630167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373414918528061440,67153643,01c93e351e3122fb,es,211,234,https://t.co/HNhY5ndAQK,https://twitter.com/LidkRodelo/status/1373414918528061440/photo/1,pic.twitter.com/HNhY5ndAQK,0,16,ServicioPúblico,Twitter for Android,1373414918528061440,False,156,1,34,2,everyone,"#ServicioPúblico Para paciente con COVID-19 en #Guarenas se requiere con urgencia, en calidad de donación, lo siguiente:

√ Levofloxacina 500mg ampollas

√ Bombona de oxígeno

Contacto: Yuviris Coy
0424-1374295 https://t.co/HNhY5ndAQK",2021-03-20T23:23:28+00:00,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,47,56,Guarenas,,,,31373414915894095876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
