conversation_id,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,author_id,text,possibly_sensitive,geo/place_id,reply_settings,created_at,attachments/media_keys/0,lang,source,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,referenced_tweets/0/type,referenced_tweets/0/id,in_reply_to_user_id,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/2,attachments/media_keys/3,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/6/entity/description,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/annotations/5/start,entities/annotations/5/end,entities/annotations/5/probability,entities/annotations/5/type,entities/annotations/5/normalized_text
"1,38666453330186E+018",224,247,https://t.co/y6aewYHZ3E,https://twitter.com/lucycoa_/status/1386664533301862410/photo/1,pic.twitter.com/y6aewYHZ3E,198,223,SucreProducePorVenezuela,24,36,EdwinRojasM,"1,35380531663124E+018","UCI DE PRIMER MUNDO✅👏🏻

@EdwinRojasM: En la Unidad de Cuidados Intensivos del HUAPA, estamos invirtiendo más de 50 mil millones de bolívares en el acondicionamiento, rehabilitación y modernización.
#SucreProducePorVenezuela https://t.co/y6aewYHZ3E",False,0165fd44316e9f7f,everyone,2021-04-26T12:52:42+00:00,"3,1386664531037E+019",es,Twitter for Android,5,0,3,1,"1,38666453330186E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38666413505689E+018",254,277,https://t.co/l0JX9CtaV4,https://twitter.com/comgobsucre/status/1386663744701349889/photo/1,pic.twitter.com/l0JX9CtaV4,211,226,SemanaFlexible,37,49,EdwinRojasM,"1,36640970155933E+018","En Vivo 📻 programa La Voz De Sucre 📺
@EdwinRojasM: En la Unidad de Cuidados Intensivos del HUAPA, estamos invirtiendo más de 50 mil millones de bolívares en el acondicionamiento, rehabilitación y modernización.
#SemanaFlexible  #SucreProducePorVenezuela https://t.co/l0JX9CtaV4",False,012a9ff7509f33b5,everyone,2021-04-26T12:51:07+00:00,"3,13866636411146E+019",es,Twitter for Android,8,0,0,0,"1,38666413505689E+018",228,253,SucreProducePorVenezuela,20,34,0.4757,Organization,La Voz De Sucre,59,97,0.2223,Other,Unidad de Cuidados Intensivos del HUAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38558707149096E+018",264,287,https://t.co/DJpKkDAwjf,https://twitter.com/lucycoa_/status/1385587071490957316/photo/1,pic.twitter.com/DJpKkDAwjf,,,,,,,"1,35380531663124E+018","Cumpliendo con las orientaciones precisas del gobernador Edwin Rojas en compañía con la secretaria de gobierno Karenly Sánchez y el equipo de Infraestructura, supervisamos los avances de los trabajos de rehabilitación de la Unidad de Cuidados Intensivos del HUAPA https://t.co/DJpKkDAwjf",False,0165fd44316e9f7f,everyone,2021-04-23T13:31:15+00:00,"3,13855870172585E+019",es,Twitter for Android,6,0,7,0,"1,38558707149096E+018",,,,57,67,0.9435,Person,Edwin Rojas,111,125,0.8063,Person,Karenly Sánchez,264,287,https://t.co/DJpKkDAwjf,https://twitter.com/lucycoa_/status/1385587071490957316/photo/1,pic.twitter.com/DJpKkDAwjf,"3,13855870517903E+019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38413987184595E+018",153,176,https://t.co/56Ow1iyuFk,https://twitter.com/lucycoa_/status/1384139871845945351/photo/1,pic.twitter.com/56Ow1iyuFk,0,6,SALUD,90,102,EdwinRojasM,"1,35380531663124E+018","#SALUD | Próximamente se estará inaugurando la Unidad de Cuidados Intensivos del HUAPA. 

@EdwinRojasM
#SucreEsIndependenciaYLealtad
#AbrilDeFuegoPatrio https://t.co/56Ow1iyuFk",False,0165fd44316e9f7f,everyone,2021-04-19T13:40:36+00:00,"3,13841398694971E+019",es,Twitter for Android,9,0,2,0,"1,38413987184595E+018",103,132,SucreEsIndependenciaYLealtad,47,85,0.1761,Place,Unidad de Cuidados Intensivos del HUAPA,,,,,,,,,,,,133,152,AbrilDeFuegoPatrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38413739759246E+018",235,258,https://t.co/u3t4c19QEE,https://twitter.com/lucycoa_/status/1384137397592461320/photo/1,pic.twitter.com/u3t4c19QEE,185,204,AbrilDeFuegoPatrio,18,30,EdwinRojasM,"1,35380531663124E+018","El líder sucrense @EdwinRojasM anunció que  próximamente se estará inaugurando la unidad de cuidados intensivos del HUAPA.

👉 20 nuevas camas para un total de 60 camas

@NicolasMaduro 
#AbrilDeFuegoPatrio
#SucreEsIndependenciaYLealtad https://t.co/u3t4c19QEE",False,0165fd44316e9f7f,everyone,2021-04-19T13:30:46+00:00,"3,13841373946984E+019",es,Twitter for Android,9,0,0,0,"1,38413739759246E+018",205,234,SucreEsIndependenciaYLealtad,116,120,0.4468,Place,HUAPA,,,,,,,,,,,,,,,169,183,NicolasMaduro,10,Person,Named people in the world like Nelson Mandela,"8,39575776999584E+017",Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden","8,39575776999584E+017",Nicolás Maduro,President of Venezuela Nicolás Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38251587080776E+018",,,,,,,,,,,,81227712,Hasta ayer habían 265 pacientes recluidos en la unidad de cuidados intensivos (UCI) sólo a causa de la covid. A ese número debemos añadirle los pacientes que por otras condiciones clínicas y diagnósticos terminan en esa área.,False,01c93e351e3122fb,everyone,2021-04-15T02:14:43+00:00,,es,Twitter for Android,1,1,3,0,"1,38251771431343E+018",,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,replied_to,"1,38251587080776E+018",81227712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38174152555039E+018",,,,,,,,,40,55,FrankVillafane,134597815,"Servicio público urgente, para paciente @frankvillafane se encuentra hospitalizado en el Hospital Carabobo y requiere con urgencia ser traslado a una Unidad de Cuidados Intensivos y el siguiente medicamento, pedimos apoyo a la sociedad y a las autoridades. Naguanagua Carabobo.",False,012af435641420c7,everyone,2021-04-12T22:50:25+00:00,,es,Twitter for Android,25,0,7,0,"1,38174152555039E+018",,,,89,105,0.8747,Place,Hospital Carabobo,160,178,0.3649,Place,Cuidados Intensivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,275,0.7732,Place,Naguanagua Carabobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38166393677748E+018",135,158,https://t.co/lOsCFMhvgr,https://twitter.com/NanoDuarteF/status/1381636749496086528,twitter.com/NanoDuarteF/st…,,,,,,,2603716491,"Pero en cualquier país del mundo hay infraestructura adecuada, ucis, camas con respiradores y personal capacitado esa es la diferencia https://t.co/lOsCFMhvgr",False,00fb14e31bcff23d,everyone,2021-04-12T17:42:07+00:00,,es,Twitter for Android,0,1,0,0,"1,38166393677748E+018",,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,quoted,"1,38163674949609E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,37682084079747E+018",,,,,,,,,0,8,LDeLION,287761476,@LDeLION Allí no se hace terapia se cuida. la Unidad de cuidados Intensivos no deja de ser la misma,False,00412d3d6cde22cc,everyone,2021-03-30T09:22:25+00:00,,es,Twitter for Android,0,0,0,0,"1,37682714399337E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,replied_to,"1,37682084079747E+018",231371935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,37482372610199E+018",,,,,,,,,,,,244638695,"¡Qué dolor ver a tantas personas contagiadas en este momento! Nos toca cuidarnos mucho, todos hospitales de Caracas están colapsados y sin UCIs.",False,00ec4c32070f5076,everyone,2021-03-24T20:41:33+00:00,,es,Twitter for iPhone,1,0,14,0,"1,37482372610199E+018",,,,108,114,0.9861,Place,Caracas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
