author_id,text,conversation_id,id,lang,reply_settings,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,geo/place_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,created_at,source,possibly_sensitive,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,referenced_tweets/0/type,referenced_tweets/0/id,in_reply_to_user_id,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,attachments/media_keys/0,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,context_annotations/0/entity/description,context_annotations/1/entity/description,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/mentions/17/start,entities/mentions/17/end,entities/mentions/17/username,entities/mentions/18/start,entities/mentions/18/end,entities/mentions/18/username,entities/mentions/19/start,entities/mentions/19/end,entities/mentions/19/username,entities/mentions/20/start,entities/mentions/20/end,entities/mentions/20/username,entities/mentions/21/start,entities/mentions/21/end,entities/mentions/21/username,entities/mentions/22/start,entities/mentions/22/end,entities/mentions/22/username,entities/mentions/23/start,entities/mentions/23/end,entities/mentions/23/username,entities/mentions/24/start,entities/mentions/24/end,entities/mentions/24/username,entities/mentions/25/start,entities/mentions/25/end,entities/mentions/25/username,entities/mentions/26/start,entities/mentions/26/end,entities/mentions/26/username,entities/mentions/27/start,entities/mentions/27/end,entities/mentions/27/username,entities/mentions/28/start,entities/mentions/28/end,entities/mentions/28/username,entities/mentions/29/start,entities/mentions/29/end,entities/mentions/29/username,entities/mentions/30/start,entities/mentions/30/end,entities/mentions/30/username,entities/mentions/31/start,entities/mentions/31/end,entities/mentions/31/username,entities/mentions/32/start,entities/mentions/32/end,entities/mentions/32/username,entities/mentions/33/start,entities/mentions/33/end,entities/mentions/33/username,entities/mentions/34/start,entities/mentions/34/end,entities/mentions/34/username,entities/mentions/35/start,entities/mentions/35/end,entities/mentions/35/username,entities/mentions/36/start,entities/mentions/36/end,entities/mentions/36/username,entities/mentions/37/start,entities/mentions/37/end,entities/mentions/37/username,entities/mentions/38/start,entities/mentions/38/end,entities/mentions/38/username,entities/mentions/39/start,entities/mentions/39/end,entities/mentions/39/username,entities/mentions/40/start,entities/mentions/40/end,entities/mentions/40/username,entities/mentions/41/start,entities/mentions/41/end,entities/mentions/41/username,entities/mentions/42/start,entities/mentions/42/end,entities/mentions/42/username,entities/mentions/43/start,entities/mentions/43/end,entities/mentions/43/username,entities/mentions/44/start,entities/mentions/44/end,entities/mentions/44/username,entities/mentions/45/start,entities/mentions/45/end,entities/mentions/45/username,entities/mentions/46/start,entities/mentions/46/end,entities/mentions/46/username,entities/mentions/47/start,entities/mentions/47/end,entities/mentions/47/username,entities/mentions/48/start,entities/mentions/48/end,entities/mentions/48/username,entities/mentions/49/start,entities/mentions/49/end,entities/mentions/49/username,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag
979149295,Capriles se erige como la gran bombona de oxígeno de usurpador genocida.,"1,39007412008852E+018","1,39007412008852E+018",es,everyone,0,7,0.9941,Person,Capriles,00ea87127fecbc28,0,0,0,0,2021-05-05T22:41:11+00:00,Twitter for Android,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604386350,Buenos días quien tenga información exacta y no precios tan abruptos para recargar Bombona de oxígeno se le agradece por la información se necesita para un vecino de otra Urbanización cercana a la que vivo,"1,38595078620785E+018","1,38595078620785E+018",es,everyone,,,,,,015d19216c749864,0,1,0,0,2021-04-24T13:36:31+00:00,Twitter for Android,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,33999914373397E+018","@VirguezFranklin Reflexione!!  Quienes son los reales genocidas ? ... 1 bombona de oxígeno costaba 40$ y ahora 400$.... salud. Una harina pan costaba 0,70$ ahora 1,20$ Comida ...genocida es el gobierno o somos nosotros mismos !  Maldito oportunismo CRIOLLO ! Ven por qué ? No cae el sistema ! 🔺🔺","1,38594306318548E+018","1,38595015227655E+018",es,everyone,,,,,,0198c6f108778b40,0,0,0,0,2021-04-24T13:34:00+00:00,Twitter for Android,False,0,16,VirguezFranklin,replied_to,"1,38594306318548E+018",539280264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,33999914373397E+018","Reflexione!!  Quienes son los reales genocidas ? ... 1 bombona de oxígeno costaba 40$ y ahora 400$.... salud. Una harina pan costaba 0,70$ ahora 1,20$ Comida ...genocida es el gobierno o somos nosotros mismos !  Maldito oportunismo CRIOLLO ! Ven por qué ? No cae el sistema ! 🔺🔺","1,38594791618823E+018","1,38594791618823E+018",es,everyone,,,,,,0198c6f108778b40,0,0,5,0,2021-04-24T13:25:07+00:00,Twitter for Android,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388509382,"Muchos pagan lo que no tienen por una bombona de oxigeno...Ya son tres días quemando nuestro pulmón Vegetal frente a Terrazas del mar y Guadalupe, via el Rincón y Nadie hace nada. https://t.co/2rkMmhOdzU","1,38523372017354E+018","1,38523372017354E+018",es,everyone,117,132,0.8772,Place,Terrazas del mar,018deff91b0b23b7,0,0,0,0,2021-04-22T14:07:09+00:00,Twitter for Android,False,,,,,,,180,203,https://t.co/2rkMmhOdzU,https://twitter.com/Yadira_Virgo/status/1385233720173543426/photo/1,pic.twitter.com/2rkMmhOdzU,136,144,0.6676,Place,Guadalupe,"3,13852336738307E+019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116740158,"#ServicioPublico

Se solicita bombona de oxigeno para Carla Angola.
Se la pueden llevar a su cuenta tuiter.","1,38503333206963E+018","1,38503333206963E+018",es,everyone,54,65,0.9729,Person,Carla Angola,0032a06455f7e1ea,0,0,2,0,2021-04-22T00:50:53+00:00,Twitter for Android,False,,,,,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,"1,1380916025875E+018",Carla Angola,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,"7,81974596752843E+017",Services,47,Brand,Brands and Companies,10045225402,Twitter,94,Journalist,A journalist like 'Anderson Cooper',"1,1380916025875E+018",Carla Angola,0,16,ServicioPublico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132371425,"Buenas noches, por favor quien me puede colaborar e informarme donde se puede conseguir una bombona de oxígeno en 
Maracaibo,  gracias","1,38358778795007E+018","1,38358778795007E+018",es,everyone,114,123,859,Place,Maracaibo,01be351754bcbe13,0,0,0,0,2021-04-18T01:06:49+00:00,Twitter for Android,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67153643,"#ServicioPúblico El profesor Luis Dávila del CP Jesús Ma Marrero de #Guarenas requiere ayuda económica para costear los medicamentos y la recarga de la bombona de oxígeno que, gracias a Dios, su familia ya le consiguió. Cualquier aporte, por pequeño q sea, cuenta y vale mucho ❤️ https://t.co/6dYq1sb54J","1,38270624279208E+018","1,38270624279208E+018",es,everyone,29,39,0.9791,Person,Luis Dávila,00dd051c4ae032b0,39,1,10,2,2021-04-15T14:43:52+00:00,Twitter for Android,False,,,,,,,280,303,https://t.co/6dYq1sb54J,https://twitter.com/LidkRodelo/status/1382706242792079363/photo/1,pic.twitter.com/6dYq1sb54J,48,63,0.9322,Person,Jesús Ma Marrero,"3,13827062355947E+019",,,,,,,,,,,,,,,,,,,,,0,16,ServicioPúblico,186,189,0.9368,Other,Dios,68,77,Guarenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185410016,"Hola amigos nuevamente paso por acá por su ayuda. Tengo 2 bombonas de oxígeno en alquiler en Caracas, eran de mi abuelo pero lo tuvimos que hospitalizar, aún necesitamos costear los gastos de medicamentos y exámenes. Si conocen a alguien que esté en búsqueda de una bombona 1/2","1,38177745829961E+018","1,38177745829961E+018",es,everyone,93,99,0.9959,Place,Caracas,0137799d4f960b21,110,9,42,3,2021-04-13T01:13:12+00:00,Twitter for iPhone,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,14863325752687E+018","Disponibles para ENTREGA INMEDIATA Regulador de Oxígeno con Flujómetro marca WeldTech, incluye canula, flujemetro, vaso humificador y regulador. Cantidad Limitada. Pocas Unidades. Precio: US$ 260. Solicítelo por DM o Whatsapp. @BuscandoMedicin

#FarmaciaEsenciaVital #regulador https://t.co/cypJCwPIiQ","1,38024897008207E+018","1,38024897008207E+018",es,everyone,,,,,,01bc41ac40f6f2ff,1,0,0,0,2021-04-08T19:59:32+00:00,Twitter for Android,False,227,243,BuscandoMedicin,,,,278,301,https://t.co/cypJCwPIiQ,https://twitter.com/FarmaciaeVital/status/1380248970082070529/photo/1,pic.twitter.com/cypJCwPIiQ,,,,,,"3,13802489672467E+019",,,,,,,,,,,,,,,,,,,,,245,266,FarmaciaEsenciaVital,,,,,,267,277,regulador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
