possibly_sensitive,source,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,conversation_id,created_at,text,geo/place_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,reply_settings,lang,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,id,attachments/media_keys/0,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,referenced_tweets/0/type,referenced_tweets/0/id,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,context_annotations/1/entity/description,context_annotations/2/entity/description,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,attachments/media_keys/1,attachments/media_keys/2,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text
False,Twitter for Android,199,222,https://t.co/UOwDA8D8FX,https://twitter.com/cisnero_yunior/status/1388453607348002816/photo/1,pic.twitter.com/UOwDA8D8FX,56,64,0.9988,Place,Venezuela,77,84,0.5309,Place,URDANETA,94,101,0.5109,Place,Trujillo,1388453607348002816,2021-05-01T11:21:50+00:00,"En el enfrentamiento a la covid 19 los colaboradores en Venezuela, municipio URDANETA, estado Trujillo saludamos junto al pueblo venezolano el día internacional de los trabajadores. Patria o Muerte. https://t.co/UOwDA8D8FX",015c005b4efdc7ee,0,0,0,False,1212826171592732672,everyone,es,119,Holiday,Holidays like Christmas or Halloween,1240931583172861953,LATAM Labor Day ,New entity for Latam Labor Day for all years,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1388453607348002816,31388453600213487623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,,,,,,33,50,0.9621,Person,Aristóbulo Istúriz,107,127,0.9346,Place,Altagracia de Orituco,244,246,0.9829,Organization,BCV,1387365705927036932,2021-04-28T11:18:54+00:00,"Sumado al dolor por la muerte de Aristóbulo Istúriz, necesito para mi mamá y mi hermana, hospitalizadas en Altagracia de Orituco con covid-19, 12 inyecciones de Remdesivir URGENTE! Otra hermana también se contagió es atendida como empleada del BCV en el centro médico de Caracas.",005565431762c415,0,2,0,False,115431169,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1387365705927036932,,271,277,0.9623,Place,Caracas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for iPhone,,,,,,38,53,0.9833,Person,Andrés Stambouli,,,,,,,,,,,1387042310311923718,2021-04-27T13:53:51+00:00,"Muy triste por la muerte del profesor Andrés Stambouli por culpa del COVID 19. 
Tuve el honor de ser su alumno, poder leerlo y recibir sus clases es un privilegio que siempre llevaré conmigo. 
Que en paz descanse.",015cbec154ca1c9c,9,1,31,True,216381984,everyone,es,10,Person,Named people in the world like Nelson Mandela,733774350155796480,Benjamin Stambouli,,60,Athlete,"An athlete in the world, like Serena Williams or Lionel Messi",733774350155796480,Benjamin Stambouli,1387042310311923718,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,1386004840162242569,2021-04-24T17:18:23+00:00,"@eloscarale *disminuye las probabilidades de contagio, complicación grave y muerte* 

Y aunque no evita que al menos 1 en cada 100.000 igual muera por complicaciones por Covid-19, si aumenta las probabilidades que los vacunados no se contagien, no necesiten ser hospitalizados y/o mueran",00ec4c32070f5076,0,0,4,False,84487089,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1386006617724960768,,,,,,,,,,,,replied_to,1386004840162242569,0,11,eloscarale,62668405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,203,226,https://t.co/dcSBiNhFPe,https://twitter.com/zhorro4/status/1385699881583579138,twitter.com/zhorro4/status…,24,54,0.5492,Other,Danzando alrededor de la muerte,,,,,,,,,,,1385962537372553217,2021-04-24T14:23:13+00:00,"Éste capítulo se llama ""Danzando alrededor de la muerte"".
Todos los venezolanos tenemos derecho a recibir la vacuna contra el #Covid_19, pero algunos tienen más derechos que otros ( y se jactan de ello) https://t.co/dcSBiNhFPe",00ec4c32070f5076,0,1,3,False,139699284,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,1385962537372553217,,,,,,,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,quoted,1385699881583579138,,,,,126,135,Covid_19,President of Venezuela Nicolás Maduro,President of Venezuela Nicolás Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,,,,,,22,38,0.252,Organization,Alcalde Bastidas,94,98,0.4412,Place,Covid,,,,,,1384299748610351117,2021-04-20T00:15:53+00:00,"Lamento la muerte del Alcalde  Bastidas, como la de cada venezolano que sufre los embates del Covid-19.

Estamos llamados a hacer todos los esfuerzos por proteger todos los #Venezolanos 

Esta situación nos afecta a todos por igual.

Mi solidaridad a familiares y amigos.",0198c6f108778b40,17,0,29,True,83712440,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1384299748610351117,,,,,,,,,,,,,,,,,,173,185,Venezolanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,303,326,https://t.co/l22Ag37Bje,https://twitter.com/AdelaidaSurez3/status/1383927420256804867/photo/1,pic.twitter.com/l22Ag37Bje,82,98,0.7984,Place,Estado Portuguesa,,,,,,,,,,,1383448845330223110,2021-04-18T23:36:23+00:00,@MadePortuguesa @Janorys4 @cubacooperavepo Héroes anónimos de batas blancas en el Estado Portuguesa ejemplarizando salud en el hermano país abordajes en todos los municipios eliminando la covid 19 Porque Somos de Patria o Muerte Venceremos y Venceremos esta pandemia #SomosCuba #CubaPorLaVida #CubaViva https://t.co/l22Ag37Bje,0050158729aa2535,1,0,1,False,1306267070968012807,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1383927420256804867,31383927417509597195,,,,,,,,,,,replied_to,1383448845330223110,0,15,MadePortuguesa,1152010157381083141,267,277,SomosCuba,,,278,292,CubaPorLaVida,293,302,CubaViva,16,25,Janorys4,26,42,cubacooperavepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,,,,,,253,262,0.5749,Person,Joooodaaaa,,,,,,,,,,,1383576613460201477,2021-04-18T00:22:24+00:00,"Dios mío, será así que hay que hablarle a la gente, el COVID 19 no es un juego:

No es Ignorancia es FALTA DE CONCIENCIA CIVICA... el que no quiera parar bolas, compre un saco de cal una bolsa plástica de 250 Lts y salga a retar a la muerte..... Nooooo Joooodaaaa..!!!",01be351754bcbe13,0,0,0,False,138914623,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1383576613460201477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,,,,,,253,262,0.5749,Person,Joooodaaaa,,,,,,,,,,,1383238848897961990,2021-04-17T02:00:15+00:00,"Dios mío, será así que hay que hablarle a la gente, el COVID 19 no es un juego:

No es Ignorancia es FALTA DE CONCIENCIA CIVICA... el que no quiera parar bolas, compre un saco de cal una bolsa plástica de 250 Lts y salga a retar a la muerte..... Nooooo Joooodaaaa..!!!",01be351754bcbe13,0,0,0,False,138914623,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1383238848897961990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,,,,,,50,60,0.4984,Person,VENEZOLANOS,79,90,0.7169,Person,JULIO BORGES,161,168,0.9681,Place,COLOMBIA,1380934057060622339,2021-04-10T17:21:50+00:00,"SABEN QUIEN SE LLENA DE REGOCIJO POR LA MUERTE DE VENEZOLANOS POR EL COVID-19, JULIO BORGES Y DE PASO SE LAMENTA POR SOLO HABER ASESINADO UN NIÑO POR ESO HUYÓ A COLOMBIA AHORA REINA EN LA COCA",01be351754bcbe13,0,0,0,False,1366135138174836738,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1380934057060622339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Twitter for Android,263,286,https://t.co/R5ct1WwQyb,https://twitter.com/Mezacam/status/1379930226986221570/photo/1,pic.twitter.com/R5ct1WwQyb,,,,,,,,,,,,,,,,1379930226986221570,2021-04-07T22:52:58+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/R5ct1WwQyb",00c357790d337a52,0,0,0,False,69387035,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379930226986221570,31379930224419344387,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Twitter for Android,147,170,https://t.co/Cwes9Gzs5T,https://twitter.com/Mezacam/status/1379926808905277446/photo/1,pic.twitter.com/Cwes9Gzs5T,,,,,,,,,,,,,,,,1379926808905277446,2021-04-07T22:39:23+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/Cwes9Gzs5T",00c357790d337a52,3,0,3,True,69387035,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379926808905277446,31379926800734822405,,,,,,,,,,,,,,,,,116,122,COVID,,,126,146,GuáricoExigeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
