entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,reply_settings,source,lang,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,created_at,text,possibly_sensitive,conversation_id,id,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id,attachments/media_keys/0,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag
20,28,0.9985,Place,Venezuela,everyone,Twitter Web App,es,2,2,11,False,3121909311,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-13T22:54:38+00:00,"Qué horrible que en Venezuela todo está colapsado, los estados de la gente full de campañas gofoundme, gente pidiendo dinero y todxs conocemos al menos 1 persona que está grave por el virus pero el régimen dando los balances ique ""5 muertos por covid en el pais"" 😝😝😝",False,1382104971148136452,1382104971148136452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,54,0.4052,Organization,GoFoundMe,everyone,Twitter Web App,es,5,0,1,False,147589125,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-12T19:53:10+00:00,"Desde el #1Abr se han abierto 210 campañas de GoFoundMe para cubrir gastos médicos por covid-19. Hay campañas que buscan recaudar desde $2.000 hasta $100.000, en las cuales siempre se hace énfasis en la precaria situación hospitalaria de Venezuela https://t.co/92niOu75dH",False,1381696870775394304,1381696918804369409,238,246,0.9796,Place,Venezuela,248,271,https://t.co/92niOu75dH,https://bit.ly/3a6xqYB,bit.ly/3a6xqYB,200,Página no encontrada - TalCual,"Lo sentimos, la página que has buscado no existe en nuestro contenido! Tal vez le gustaría ir a nuestra página web o intente buscar a continuación. ¿O intente navegar por las últimas publicaciones?",https://talcualdigital.com/gofundme-y-servicios-publicos-la-salida-de-los-venezolanos-para-enfrentar-la-covid-19/,9,14,1Abr,147589125,replied_to,1381696909824421895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,0.9347,Place,Venezuela,everyone,elperiodicodm,es,1,0,0,False,1180076120,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-09T14:42:17+00:00,Venezuela recurre a GoFoundMe para luchar contra el Covid-19 - https://t.co/gBVWf5yI90 #9Abr #venezuela #coronavirus @VozdeAmerica Redacción: @JoalexPinango https://t.co/nbtNW0S88z,False,1380531519635218433,1380531519635218433,20,28,0.4122,Person,GoFoundMe,63,86,https://t.co/gBVWf5yI90,https://is.gd/hNUMuT,is.gd/hNUMuT,200,Venezuela acude a GoFoundMe para luchar contra el Covid-19,Los altos costos de medicamentos y la hospitalización en clínicas y el colapso en hospitales públicos hacen que se recurran a esta plataforma,https://elperiodicodemonagas.com.ve/venezuela/venezolanos-acuden-a-gofoundme/,87,92,9Abr,,,,31380531517752016896,https://pbs.twimg.com/news_img/1380531522881662976/YkKgj9T6?format=jpg&name=orig,1200,462,https://pbs.twimg.com/news_img/1380531522881662976/YkKgj9T6?format=jpg&name=150x150,150,150,157,180,https://t.co/nbtNW0S88z,https://twitter.com/elPeriodicoDM/status/1380531519635218433/photo/1,pic.twitter.com/nbtNW0S88z,117,130,VozdeAmerica,142,156,JoalexPinango,93,103,venezuela,104,116,coronavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,0.5721,Product,Twitter,everyone,Twitter for iPhone,en,0,0,0,False,867121033,46,Brand Category,Categories within Brand Verticals that narrow down the scope of Brands,781974596752842752,Services,2021-04-06T07:08:20+00:00,"My Twitter/Facebook feeds are full of GoFoundMe campaigns for #COVIDー19 treatments. In Venezuela the lack of a functional health system means that if you or your family member get severe Covid, you have to rely on the charity of others to have any chance to survive it. https://t.co/gr3uXdJTu3",False,1379330115646132226,1379330115646132226,11,18,0.5937,Organization,Facebook,270,293,https://t.co/gr3uXdJTu3,https://twitter.com/LuisCarlos/status/1379203638082613253,twitter.com/LuisCarlos/sta…,,,,,62,71,COVIDー19,,quoted,1379203638082613253,,,,,,,,,,,,,,,,,,,,,,,,,38,46,0.4701,Organization,GoFoundMe,87,95,0.9496,Place,Venezuela,47,Brand,Brands and Companies,10029202045,Facebook,47,Brand,Brands and Companies,10045225402,Twitter,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,
56,64,0.9958,Place,Venezuela,everyone,Twitter for Android,es,8,1,15,False,153504287,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-05T17:46:05+00:00,"@Simonovis Con Razón eso explicaría que 👉 El Tweter en Venezuela está Lleno de Gofoundme, Gatitos, Perritos, COVID 😓😓😓 Hasta cuando Diooooosssss 😖 Ni una sola noticia importante.....😖😖😖",False,1379117990696923139,1379128221464166407,,,,,,,,,,,,,,,,,,55558616,replied_to,1379117990696923139,,,,,,,,,,,,,0,10,Simonovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,61,0.9759,Place,venezuela,everyone,Twitter for iPhone,es,1,0,0,False,151280265,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-05T06:03:35+00:00,No quiero ver mas gofoundme de personas con covid en venezuela 🥺,False,1378951430657216516,1378951430657216516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,53,0.9934,Place,Venezuela,everyone,Twitter for Android,es,0,4,1,False,101581292,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-03-31T16:18:05+00:00,"Gracias a los que se pondrán de rodillas por Venezuela se irá el COVID y hasta el chavismo del país.

Pajúos, vayan a donar en los cientos de GoFoundMe que hay por ahí.

Mi hermano @ArgenisFC anda vendiendo rodilleras a 5$ para que no se dañen las rodillitas.

#TuitDeOdio",False,1377294135175090193,1377294135175090193,142,150,0.3652,Place,GoFoundMe,,,,,,,,,,261,272,TuitDeOdio,,,,,,,,,,,,,,,,181,191,ArgenisFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,152,0.9777,Place,Venezuela,everyone,Twitter for Android,es,10,6,16,False,63383723,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-03-29T19:57:40+00:00,"Lo cierto es que nadie debería verse en la necesidad de hacer un GoFoundMe para pagar el tratamiento contra el Covid-19.

Que distinto sería si Venezuela (con la misma vehemencia con la vilipendian a iguales) exigieran vacunas contra el Covid-19 y un sistema de salud digno.",False,1376624618031697927,1376624618031697927,237,241,0.4242,Organization,Covid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,everyone,Twitter for iPhone,es,5,0,1,False,211576745,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-03-29T15:12:22+00:00,"Es mi abuelito que está muy mal, si pueden ayudarme difundiendo lo agradecería eternamente 🙏🏻 #COVID19 #Venezuela #ayuda #gofoundme #COVID 

https://t.co/uww5LBnGfz https://t.co/XVTJjzFppJ",False,1376552820556595203,1376552820556595203,,,,,,141,164,https://t.co/uww5LBnGfz,https://gofund.me/691557e3,gofund.me/691557e3,200,"Ayuda COVID para nuestro abuelo, organized by Valentina Otero","Hola!! Sabemos que esta pandemia ha sido muy dura para todos, pero hoy necesitamos de … Valentina Otero needs your support for Ayuda COVID para nuestro abuelo",https://www.gofundme.com/f/ayuda-covid-para-nuestro-abuelo?utm_campaign=p_cf+share-flow-1&utm_medium=chat&utm_source=whatsapp,94,102,COVID19,,,,31376552814776889354,https://pbs.twimg.com/news_img/1383478167277428740/TEvscnoN?format=jpg&name=orig,868,490,https://pbs.twimg.com/news_img/1383478167277428740/TEvscnoN?format=jpg&name=150x150,150,150,165,188,https://t.co/XVTJjzFppJ,https://twitter.com/barbaragarciadm/status/1376552820556595203/photo/1,pic.twitter.com/XVTJjzFppJ,,,,,,,103,113,Venezuela,114,120,ayuda,,,,,,,,,,,,,,,,,,,,,,,,,,121,131,gofoundme,132,138,COVID
73,81,0.9699,Place,Venezuela,everyone,Twitter for Android,es,0,0,1,False,35639042,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-03-29T09:19:13+00:00,Ya no puedo ver más GoFoundMe y gente pidiendo oxigeno. Un año después y Venezuela de verdad está en su peor momento con el Covid. Da miedo en serio.,False,1376463948904607752,1376463948904607752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
