conversation_id,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,author_id,text,possibly_sensitive,geo/place_id,reply_settings,created_at,attachments/media_keys/0,lang,source,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,in_reply_to_user_id,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text
"1,39008202054246E+018",217,240,https://t.co/dF9s1hMic7,https://twitter.com/tovarguedez/status/1390082020542459911/photo/1,pic.twitter.com/dF9s1hMic7,0,16,ServicioPublico,148,156,0.9967,Place,Venezuela,49782961,"#ServicioPublico - para paciente covid-19 se requiere con urgencia Perfenidona en tabletas de 267 mg. La familia no la ha encontrado hasta ahora en Venezuela, pero si alguien tiene información, agradezco compartirla. https://t.co/dF9s1hMic7",False,015cbec154ca1c9c,everyone,2021-05-05T23:12:34+00:00,"3,13900820160587E+019",es,Twitter for iPhone,7,2,5,0,"1,39008202054246E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38965697449368E+018",124,147,https://t.co/JRDbFb7KlU,https://twitter.com/tibisayromero/status/1389656974493683716/photo/1,pic.twitter.com/JRDbFb7KlU,0,16,ServicioPúblico,38,59,0.9795,Person,Carlos Olivares Romero,116876568,#ServicioPúblico para mi primo médico Carlos Olivares Romero que está hospitalizado por Covid-19. Toda ayuda es importante. https://t.co/JRDbFb7KlU,False,015d19216c749864,everyone,2021-05-04T19:03:35+00:00,"3,13896569720232E+019",es,Twitter for Android,684,3,179,11,"1,38965697449368E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,88,92,0.2666,Person,Covid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38487773672912E+018",84,107,https://t.co/IXleUgvnBs,https://gofund.me/79dfbca1,gofund.me/79dfbca1,0,16,ServicioPublico,,,,,,118116171,"#ServicioPublico Les pido su colaboración para difundir o donar 🙏🏻 Es para mi papá 
https://t.co/IXleUgvnBs",False,008eb02a542ac3d4,everyone,2021-04-21T14:32:36+00:00,,es,Twitter for iPhone,0,0,0,0,"1,38487773672912E+018",,,,,,,,,,,https://pbs.twimg.com/news_img/1382882313655160834/rRBXa_-l?format=jpg&name=orig,810,457,https://pbs.twimg.com/news_img/1382882313655160834/rRBXa_-l?format=jpg&name=150x150,150,150,200,"Ayuda a Tony a superar el Covid 19, organized by Daniela Osio","Mi papá tiene 76 años y el covid 19 le provocó una fuerte neumonía, por lo tanto debe… Daniela Osio needs your support for Ayuda a Tony a superar el Covid 19",https://www.gofundme.com/f/ayuda-a-tony-a-superar-el-covid-19?utm_campaign=p_nacp+share-sheet&utm_medium=copy_link&utm_source=customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,38164179907316E+018",224,247,https://t.co/ruaWTKaiAy,https://gofund.me/18cf2956,gofund.me/18cf2956,0,16,ServicioPublico,54,59,356,Person,COVID,15246855,"#ServicioPublico

Ayuda al Mtro. Rugeles para superar COVID

El Maestro  Alfredo Rugeles atraviesa una situación de salud delicada, acaba de ser diagnosticado de Covid-19 y fue hospitalizado por deficiencias respiratorias 

https://t.co/ruaWTKaiAy",False,07d9e4eaaec80001,everyone,2021-04-12T16:14:09+00:00,,es,Twitter for iPhone,2,1,1,0,"1,38164179907316E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,73,87,0.5169,Person,Alfredo Rugeles,,,,,,,,,,,162,166,0.3615,Place,Covid,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3809225778504E+018",78,101,https://t.co/0EMCtjjJYU,https://gofund.me/9cf64ac0,gofund.me/9cf64ac0,0,8,10Abril,38,50,0.6133,Person,Juan M Guerra,"1,0443170066218E+018","#10Abril. #ServicioPúblico 

#URGENTE Juan M Guerra necesita de ti (COVID-19) https://t.co/0EMCtjjJYU",False,00ec4c32070f5076,everyone,2021-04-10T16:36:13+00:00,,es,Twitter for Android,7,0,0,0,"1,3809225778504E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,10,26,ServicioPúblico,29,37,URGENTE,,,,,,,,,,,,,,,,,,,,,
"1,37980896036719E+018",141,164,https://t.co/j9k1Hx5bzw,https://twitter.com/Auxi1984/status/1379808960367190020/photo/1,pic.twitter.com/j9k1Hx5bzw,0,16,ServicioPublico,,,,,,21964479,"#ServicioPublico #Caracas Busco Remdisivir en ampolla para unos primos que tienen #Covid_19 

Si tienen información, porfa escríbanme al DM. https://t.co/j9k1Hx5bzw",False,00ec4c32070f5076,everyone,2021-04-07T14:51:06+00:00,"3,13798089585259E+019",es,Twitter for Android,0,2,0,1,"1,37980896036719E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,17,25,Caracas,82,91,Covid_19,,,,,,,,,,,,,,,,,,,,,
"1,37922278722365E+018",,,,,,0,16,ServicioPublico,69,75,0.9958,Place,Caracas,111795210,#ServicioPublico | Para paciente con fibrosis pulmonar (Covid-19) en Caracas se requiere con carácter de urgencia Pirfenidona (Esbriet). ¡Gracias!,False,01c93e351e3122fb,everyone,2021-04-06T00:01:51+00:00,,es,Twitter for Android,2,0,0,0,"1,37922278722365E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,37758750945086E+018",204,227,https://t.co/drF4DwPC9E,https://www.instagram.com/p/CNH0IU_sjrZ/?igshid=1829hddpoddn0,instagram.com/p/CNH0IU_sjrZ/…,0,16,ServicioPublico,195,202,0.9894,Place,Carabobo,"1,10560107019212E+018","#ServicioPublico #MarbelisMiranda

Hoy necesita de nosotros.

Pedimos hoy, una mano amiga para que nuestra amiga pueda tener todos los recursos para enfrentar la COVID-19.

#PorLaSaludYLaVida en Carabobo https://t.co/drF4DwPC9E",False,015d19216c749864,everyone,2021-04-01T11:43:51+00:00,,es,Instagram,0,0,0,0,"1,37758750945086E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,17,33,MarbelisMiranda,173,191,PorLaSaludYLaVida,Point,-67.98,10193,,,,,,,,,,,,,,,,,,
"1,37734186801123E+018",213,236,https://t.co/kEwtMFemeP,https://twitter.com/Sentir_UCVista/status/1377341868011229184/photo/1,pic.twitter.com/kEwtMFemeP,0,16,ServicioPublico,,,,,,"1,26076420408205E+018","#ServicioPublico | Se requiere con carácter de urgencia, para paciente COVID-19+ familiar de estudiantes de la #UCV

⚠️ Concentrador de Oxígeno de 10L ⚠️

Cualquier tipo de información, contactar al: 0414-2335964 https://t.co/kEwtMFemeP",False,00ec4c32070f5076,everyone,2021-03-31T19:27:45+00:00,"3,1377341862391E+019",es,Twitter for Android,14,0,9,1,"1,37734186801123E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,,,,,,,,,,,,,,,,,,,,,111,115,UCV,,,,,,,,,,,,,,,,,,,,,,,,
"1,37733883458575E+018",163,186,https://t.co/MLpmBp9kye,https://twitter.com/valeriaaortizm/status/1377338834585747457/photo/1,pic.twitter.com/MLpmBp9kye,0,16,ServicioPublico,56,60,0.2393,Organization,10lts,2539085183,"#ServicioPublico Se solicita concentrador de oxígeno de 10lts para paciente de 67 años con COVID-19. 

Tío de mi amiga Maria Caiafa
Cualquier cosa al 0424-2559888 https://t.co/MLpmBp9kye",False,00ec4c32070f5076,everyone,2021-03-31T19:15:42+00:00,"3,13773388262853E+019",es,Twitter for iPhone,0,0,0,0,"1,37733883458575E+018",123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,119,130,0.9571,Person,Maria Caiafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
