entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,conversation_id,reply_settings,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,source,author_id,possibly_sensitive,attachments/media_keys/0,created_at,lang,text,geo/place_id,referenced_tweets/0/type,referenced_tweets/0/id,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,in_reply_to_user_id,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1
167,181,NicolasMaduro,209,221,EdwinRojasM,21,26,0.4423,Organization,180mil,40,84,0.1517,Other,Bs Se Activa la Unidad de Cuidados Intensivos,96,144,0.2986,Place,Hospital Universitario Antonio Patricio de Alcalá,223,246,RadicalesContraLaCovid,248,271,SucreEnMayoDeVictorias,272,295,https://t.co/slhnMKdrPf,https://twitter.com/lucycoa_/status/1389233144772145152/photo/1,pic.twitter.com/slhnMKdrPf,1389233144772145152,everyone,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,4,False,3,True,1389233144772145152,Twitter for Android,1353805316631244802,False,31389233134374375432,2021-05-03T14:59:27+00:00,es,"Con una inversión de 180mil millones de Bs
Se Activa la Unidad de Cuidados Intensivos (UCI) del Hospital Universitario Antonio Patricio de Alcalá (HUAPA) Gracias Pdte @NicolasMaduro por su apoyo a nuestro Gob @EdwinRojasM

#RadicalesContraLaCovid 
#SucreEnMayoDeVictorias https://t.co/slhnMKdrPf",012a9ff7509f33b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,26,EdwinRojasM,,,,148,150,0.5211,Organization,UCI,171,175,0.7865,Place,Sucre,,,,,,220,243,RadicalesContraLaCovid,244,267,SucreEnMayorDeVictoria,,,,,,1389221496883716100,everyone,,,,,,,,,,,,,1,False,0,False,1389221496883716100,Twitter for Android,1366409701559332873,False,,2021-05-03T14:13:10+00:00,es,"El Gobernador @EdwinRojasM indicó que la unidad de cuidados intensivos estaba en coma, pero la rehabilitamos y quedó repotenciada. 

👉 Una moderna UCI tiene el pueblo de Sucre con nuevos y modernos equipos tecnológicos

#RadicalesContraLaCovid
#SucreEnMayorDeVictoria",012a9ff7509f33b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23,EdwinRojasM,,,,117,121,0.5797,Place,HUAPA,,,,,,,,,,,199,221,SucreEnMayoDeVictoria,222,245,RadicalesContraLaCovid,246,269,https://t.co/mXUkD2Fq0x,https://twitter.com/lucycoa_/status/1389190961822109696/photo/1,pic.twitter.com/mXUkD2Fq0x,1389190961822109696,everyone,,,,,,,,,,,,,11,False,6,False,1389190961822109696,Twitter for Android,1353805316631244802,False,31389190846218657798,2021-05-03T12:11:49+00:00,es,"Gobernador @EdwinRojasM Siempre pensando en su Pueblo!!

Rehabilita y moderniza la unidad de cuidados intensivos del HUAPA y se amplió la cantidad de camas que benefician a todo el pueblo Sucrense!!
#SucreEnMayoDeVictoria
#RadicalesContraLaCovid https://t.co/mXUkD2Fq0x",012a9ff7509f33b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,30,37,0.9823,Place,Valencia,69,75,0.9826,Place,Maracay,78,83,0.8585,Person,Victor,,,,,,,,,,,,1388532399114489858,everyone,,,,,,,,,,,,,0,True,0,False,1388532470941986820,Twitter for Android,196843793,False,,2021-05-01T16:35:13+00:00,es,"Hermana. El murió primero. En Valencia. Ella murió horas después, en Maracay. Victor,hijo, tu no será vengas. Sabes por qué? Simple, es nuestro trabajo. Por eso OS admirare siempre. Cómo a Yamil . Ese gordo y gran pana. Co fundador de la unidad de cuidados intensivos de barinas",012af435641420c7,replied_to,1388532466760159233,189,193,0.7865,Person,Yamil,271,277,0.7527,Place,barinas,196843793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,206,NicolasMaduro,224,236,EdwinRojasM,109,157,0.8465,Place,Hospital Universitario Antonio Patricio de Alcalá,241,254,0.4407,Place,Sucre la Salud,,,,,,0,6,1Mayo,,,,272,295,https://t.co/T4x1CMKPi3,https://twitter.com/servisucreg/status/1388380187339939847/photo/1,pic.twitter.com/T4x1CMKPi3,1388380187339939847,everyone,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,3,False,4,False,1388380187339939847,Twitter for Android,1356672746701398019,False,31388380185091788802,2021-05-01T06:30:06+00:00,es,"#1Mayo ¡Promesa Cumplida! Nueva unidad de cuidados intensivos repotenciada, transformada y modernizada en el Hospital Universitario Antonio Patricio de Alcalá, gracias al apoyo del Presidente @NicolasMaduro y a nuestro Gob. @EdwinRojasM ¡En Sucre la Salud es Primero! 😷🤍🏥 https://t.co/T4x1CMKPi3",0165fd44316e9f7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,36,EdwinRojasM,,,,,,,,,,,,,,,,,,,198,223,SucreProducePorVenezuela,,,,224,247,https://t.co/y6aewYHZ3E,https://twitter.com/lucycoa_/status/1386664533301862410/photo/1,pic.twitter.com/y6aewYHZ3E,1386664533301862410,everyone,,,,,,,,,,,,,5,False,3,True,1386664533301862410,Twitter for Android,1353805316631244802,False,31386664531036983296,2021-04-26T12:52:42+00:00,es,"UCI DE PRIMER MUNDO✅👏🏻

@EdwinRojasM: En la Unidad de Cuidados Intensivos del HUAPA, estamos invirtiendo más de 50 mil millones de bolívares en el acondicionamiento, rehabilitación y modernización.
#SucreProducePorVenezuela https://t.co/y6aewYHZ3E",0165fd44316e9f7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,49,EdwinRojasM,,,,20,34,0.4757,Organization,La Voz De Sucre,59,97,0.2223,Other,Unidad de Cuidados Intensivos del HUAPA,,,,,,211,226,SemanaFlexible,228,253,SucreProducePorVenezuela,254,277,https://t.co/l0JX9CtaV4,https://twitter.com/comgobsucre/status/1386663744701349889/photo/1,pic.twitter.com/l0JX9CtaV4,1386664135056887811,everyone,,,,,,,,,,,,,8,False,0,False,1386664135056887811,Twitter for Android,1366409701559332873,False,31386663641114611721,2021-04-26T12:51:07+00:00,es,"En Vivo 📻 programa La Voz De Sucre 📺
@EdwinRojasM: En la Unidad de Cuidados Intensivos del HUAPA, estamos invirtiendo más de 50 mil millones de bolívares en el acondicionamiento, rehabilitación y modernización.
#SemanaFlexible  #SucreProducePorVenezuela https://t.co/l0JX9CtaV4",012a9ff7509f33b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,57,67,0.9435,Person,Edwin Rojas,111,125,0.8063,Person,Karenly Sánchez,,,,,,,,,,,,264,287,https://t.co/DJpKkDAwjf,https://twitter.com/lucycoa_/status/1385587071490957316/photo/1,pic.twitter.com/DJpKkDAwjf,1385587071490957316,everyone,,,,,,,,,,,,,6,False,7,False,1385587071490957316,Twitter for Android,1353805316631244802,False,31385587017258504195,2021-04-23T13:31:15+00:00,es,"Cumpliendo con las orientaciones precisas del gobernador Edwin Rojas en compañía con la secretaria de gobierno Karenly Sánchez y el equipo de Infraestructura, supervisamos los avances de los trabajos de rehabilitación de la Unidad de Cuidados Intensivos del HUAPA https://t.co/DJpKkDAwjf",0165fd44316e9f7f,,,,,,,,,,,,,,264,287,https://t.co/DJpKkDAwjf,https://twitter.com/lucycoa_/status/1385587071490957316/photo/1,pic.twitter.com/DJpKkDAwjf,31385587051790311426,,,,,,,,,,,,,,,,,,,,,,
90,102,EdwinRojasM,,,,47,85,0.1761,Place,Unidad de Cuidados Intensivos del HUAPA,,,,,,,,,,,0,6,SALUD,103,132,SucreEsIndependenciaYLealtad,153,176,https://t.co/56Ow1iyuFk,https://twitter.com/lucycoa_/status/1384139871845945351/photo/1,pic.twitter.com/56Ow1iyuFk,1384139871845945351,everyone,,,,,,,,,,,,,8,False,2,False,1384139871845945351,Twitter for Android,1353805316631244802,False,31384139869497139213,2021-04-19T13:40:36+00:00,es,"#SALUD | Próximamente se estará inaugurando la Unidad de Cuidados Intensivos del HUAPA. 

@EdwinRojasM
#SucreEsIndependenciaYLealtad
#AbrilDeFuegoPatrio https://t.co/56Ow1iyuFk",0165fd44316e9f7f,,,,,,,,,,,,,,,,,,,,133,152,AbrilDeFuegoPatrio,,,,,,,,,,,,,,,,,,,
18,30,EdwinRojasM,169,183,NicolasMaduro,116,120,0.4468,Place,HUAPA,,,,,,,,,,,185,204,AbrilDeFuegoPatrio,205,234,SucreEsIndependenciaYLealtad,235,258,https://t.co/u3t4c19QEE,https://twitter.com/lucycoa_/status/1384137397592461320/photo/1,pic.twitter.com/u3t4c19QEE,1384137397592461320,everyone,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,9,False,0,False,1384137397592461320,Twitter for Android,1353805316631244802,False,31384137394698420236,2021-04-19T13:30:46+00:00,es,"El líder sucrense @EdwinRojasM anunció que  próximamente se estará inaugurando la unidad de cuidados intensivos del HUAPA.

👉 20 nuevas camas para un total de 60 camas

@NicolasMaduro 
#AbrilDeFuegoPatrio
#SucreEsIndependenciaYLealtad https://t.co/u3t4c19QEE",0165fd44316e9f7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382515870807756812,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,1,True,3,False,1382517714313428995,Twitter for Android,81227712,False,,2021-04-15T02:14:43+00:00,es,Hasta ayer habían 265 pacientes recluidos en la unidad de cuidados intensivos (UCI) sólo a causa de la covid. A ese número debemos añadirle los pacientes que por otras condiciones clínicas y diagnósticos terminan en esa área.,01c93e351e3122fb,replied_to,1382515870807756812,,,,,,,,,,,81227712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,55,FrankVillafane,,,,89,105,0.8747,Place,Hospital Carabobo,160,178,0.3649,Place,Cuidados Intensivos,257,275,0.7732,Place,Naguanagua Carabobo,,,,,,,,,,,,1381741525550391299,everyone,,,,,,,,,,,,,25,False,7,False,1381741525550391299,Twitter for Android,134597815,False,,2021-04-12T22:50:25+00:00,es,"Servicio público urgente, para paciente @frankvillafane se encuentra hospitalizado en el Hospital Carabobo y requiere con urgencia ser traslado a una Unidad de Cuidados Intensivos y el siguiente medicamento, pedimos apoyo a la sociedad y a las autoridades. Naguanagua Carabobo.",012af435641420c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,135,158,https://t.co/lOsCFMhvgr,https://twitter.com/NanoDuarteF/status/1381636749496086528,twitter.com/NanoDuarteF/st…,1381663936777482241,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,0,True,0,False,1381663936777482241,Twitter for Android,2603716491,False,,2021-04-12T17:42:07+00:00,es,"Pero en cualquier país del mundo hay infraestructura adecuada, ucis, camas con respiradores y personal capacitado esa es la diferencia https://t.co/lOsCFMhvgr",00fb14e31bcff23d,quoted,1381636749496086528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,LDeLION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376820840797470727,everyone,,,,,,,,,,,,,0,False,0,False,1376827143993372673,Twitter for Android,287761476,False,,2021-03-30T09:22:25+00:00,es,@LDeLION Allí no se hace terapia se cuida. la Unidad de cuidados Intensivos no deja de ser la misma,00412d3d6cde22cc,replied_to,1376820840797470727,,,,,,,,,,,231371935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
