entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,attachments/media_keys/0,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,created_at,id,reply_settings,conversation_id,lang,source,author_id,possibly_sensitive,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,text,geo/place_id,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/1,attachments/media_keys/2,attachments/media_keys/3,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,context_annotations/3/entity/description,context_annotations/4/entity/description,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag
156,160,0.3695,Place,Covid,204,216,OEA_oficial,217,225,_Provea,226,237,benalarcon,238,247,CDH_UCAB,248,260,red_vecinos,261,277,Noti_Naguanagua,278,301,https://t.co/7RiwTUS1AV,https://twitter.com/CoronaArelis/status/1390815340318298112/photo/1,pic.twitter.com/7RiwTUS1AV,0,22,VacunasCertificadasYa,23,45,LasVacunasSonUrgentes,184,203,PlanDeVacunaciónYa,31390815337533300736,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-05-07T23:46:31+00:00,1390815340318298112,everyone,1390815340318298112,es,Twitter for Android,365815928,False,20,0,9,0,"#VacunasCertificadasYa
#LasVacunasSonUrgentes 
Cada día vemos como mas venezolanos padecen por la falta de atención y de recursos para el tratamiento de la Covid-19, por ello exigimos #PlanDeVacunaciónYa
@OEA_oficial @_Provea @benalarcon @CDH_UCAB @Red_Vecinos @Noti_Naguanagua https://t.co/7RiwTUS1AV",015d19216c749864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,32,0.3281,Place,Covid,,,,,,,,,,,,,,,,,,,248,271,https://t.co/0RQAHhzcr0,https://twitter.com/Untsucrearagua2/status/1387756731917275139/photo/1,pic.twitter.com/0RQAHhzcr0,221,247,MedicinasUrgentesParaVzla,,,,,,,31387756729631449089,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-29T13:12:42+00:00,1387756731917275139,everyone,1387756731917275139,es,Twitter for Android,1193223307744681986,False,6,0,4,1,"Atender a los pacientes con Covid-19 es una tragedia diaria, pues el tratamiento es costoso y precario. El régimen es indolente he ineficiente, solo le interesa mantener el poder sin importar la vida de los venezolanos. 
#MedicinasUrgentesParaVzla https://t.co/0RQAHhzcr0",0115394f017772df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,30,0.9755,Person,Beltrán Sánchez,,,,,,,,,,,,,,,,,,,255,278,https://t.co/McAg7ZS6xP,https://cutt.ly/bvCR,cutt.ly/bvCR,0,6,28Abr,42,51,Covid_19,104,112,Guatire,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-28T21:17:54+00:00,1387516449112174595,everyone,1387516449112174595,es,Twitter for Android,67153643,False,18,0,30,0,"#28Abr El padre Beltrán Sánchez superó el #Covid_19. El párroco d la iglesia Santa Cruz de Pacairigua d #Guatire recibió el alta médica del Hosp Victorino Santaella d #LosTeques
Seguirá con tratamiento y supervisión en casa para recuperase d las secuelas
https://t.co/McAg7ZS6xP",00dd051c4ae032b0,77,100,0.2847,Place,Santa Cruz de Pacairigua,140,163,0.4398,Organization,Hosp Victorino Santaella,167,177,LosTeques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,108,0.5383,Person,Lotty Colemares,,,,,,,,,,,,,,,,,,,250,273,https://t.co/cZjnqgz6dv,https://cutt.ly/ZU1c5,cutt.ly/ZU1c5,0,6,26Abr,40,46,25Abr,85,93,Guatire,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T21:55:49+00:00,1386801211593142274,everyone,1386801211593142274,es,Twitter for Android,67153643,False,8,0,4,1,"#26Abr Al final de la noche del domingo #25Abr falleció la enfermera del Hospital de #Guatire Lotty Colemares (58) por complicaciones derivadas del #COVID19. Murió en la UCI del hospital centinela, esperando conseguir el tratamiento que le indicaron
https://t.co/cZjnqgz6dv",01c93e351e3122fb,,,,,,,,,,,148,156,COVID19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,198,0.9243,Place,Cumaná,,,,,,,,,,,,,,,,,,,238,261,https://t.co/joIs14ikdF,https://twitter.com/lucycoa_/status/1386679191169556481/photo/1,pic.twitter.com/joIs14ikdF,212,237,SucreProducePorVenezuela,,,,,,,31386679179828203521,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T13:50:57+00:00,1386679191169556481,everyone,1386679191169556481,es,Twitter for Android,1353805316631244802,False,1,0,0,0,"Se entegaron 6 nuevos equipos de ventilación mecánica y 30 nuevas camas clínicas, lo que permitirá la ampliación del área de tratamiento intermedio, para pacientes con covid-19 del hospital de Cumaná y Carúpano.
#SucreProducePorVenezuela https://t.co/joIs14ikdF",0165fd44316e9f7f,202,209,0.8303,Place,Carúpano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T10:08:44+00:00,1386623268623355904,everyone,1386623268623355904,es,Twitter for Android,1050203478327476225,False,1,0,1,0,TRATAMIENTO PARA COVID-19 YA     VACUNAS YA,01c93e351e3122fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,14,NicolasMaduro,195,210,clarcklaurens1,211,220,ejdecena,221,236,HectoRodriguez,237,244,PCV_Ve,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T10:02:53+00:00,1386621798670811140,everyone,1386621798670811140,es,Twitter for Android,1050203478327476225,False,1,0,2,0,"@NicolasMaduro PRESIDENTE UD. DIJO Q HOSPITAL Y CDI TIENEN TRATAMIENTO PARA COVID-19, SI ES ASÍ ALGUIEN NO LO DA, ME OFREZCO PARA IR A ESA TRINCHERA Y ENTREGAR TRATAMIENTO, DONDE SEA Y QUIEN SEA @clarcklaurens1 @ejdecena @HectoRodriguez @PCV_Ve",01c93e351e3122fb,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,1252764865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,9,ejdecena,10,24,NicolasMaduro,25,40,clarcklaurens1,41,53,PaolaKatari,54,61,PCV_Ve,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T09:56:47+00:00,1386620261458456578,everyone,1386617512436056064,es,Twitter for Android,1050203478327476225,False,1,0,2,0,"@ejdecena @NicolasMaduro @clarcklaurens1 @PaolaKatari @PCV_Ve ESPERO QUE CAMBIE, 1 DE LAS PERSONAS CON COVID-19 ESTÁ SALIENDO DE UN CANCER , CLARO CAMBIA QUE EL PRESIDENTE DE EL TRATAMIENTO COMPLETO PARA LOS 3 , Y TODO EL PUEBLO Q LO NECESITA, ME OFREZCO PARA ENTREGAR ESE TRATAMIENTO DONDE SEA, QUIEN SEA, ESPERO POR UD PRESIDENTE .",01c93e351e3122fb,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,96431099,replied_to,1386617722998595589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,14,NicolasMaduro,231,246,clarcklaurens1,247,256,ejdecena,257,269,PaolaKatari,270,277,PCV_Ve,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T09:45:51+00:00,1386617512436056064,everyone,1386617512436056064,es,Twitter for Android,1050203478327476225,False,3,1,3,0,"@NicolasMaduro PRESIDENTE UD DIJO Q ESTÁ GARANTIZADO PARA EL PUEBLO TRATAMIENTO DE COVID-19, DONDE LO DAN HOSPITALES Y CDI NO LO TIENEN, TENGO 2 SOBRINOS Y SU MAMÁ CON EL VIRUS, LO NECESITAMOS Y NO PODEMOS COMPRARLO, DONDE LOS DAN @clarcklaurens1 @ejdecena @PaolaKatari @PCV_Ve",01c93e351e3122fb,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,1252764865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,67,0.3474,Place,COVID,170,184,NicolasMaduro,215,230,MagaGutierrezV,231,243,ivssoficial,,,,,,,,,,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,121,145,LaVictoriaEsDeVenezuela,244,265,ViviremosYVenceremos,,,,31386514968514863104,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,2021-04-26T02:59:01+00:00,1386515128301068292,everyone,1386515128301068292,es,Twitter for Android,1321877483881418755,False,2,0,1,0,Se Entregan Tratamiento Farmacológico a los Pte Recuperados de COVID-19 Para el Reforzamiento de su Sistema Inmunológico #LaVictoriaEsDeVenezuela  Gracias a Nuestro Pdte @NicolasMaduro a la Gestión de Nuestra Podrá @MagaGutierrezV @ivssoficial #ViviremosYVenceremos https://t.co/IORb0sQftY,00914f80743a0863,,,,,,,,,,,,,,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,,,,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,266,289,https://t.co/IORb0sQftY,https://twitter.com/FeliciaIvss/status/1386515128301068292/photo/1,pic.twitter.com/IORb0sQftY,31386515012932485120,31386515058180739072,31386515124073242624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
