id,possibly_sensitive,created_at,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,lang,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,text,reply_settings,source,conversation_id,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,referenced_tweets/0/type,referenced_tweets/0/id,geo/place_id,entities/urls/0/status,entities/urls/0/unwound_url,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/1/entity/description,context_annotations/2/entity/description,context_annotations/0/entity/description,in_reply_to_user_id,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/6/domain/id,context_annotations/6/domain/name,context_annotations/6/domain/description,context_annotations/6/entity/id,context_annotations/6/entity/name,context_annotations/7/domain/id,context_annotations/7/domain/name,context_annotations/7/domain/description,context_annotations/7/entity/id,context_annotations/7/entity/name,context_annotations/8/domain/id,context_annotations/8/domain/name,context_annotations/8/domain/description,context_annotations/8/entity/id,context_annotations/8/entity/name,context_annotations/9/domain/id,context_annotations/9/domain/name,context_annotations/9/domain/description,context_annotations/9/entity/id,context_annotations/9/entity/name,context_annotations/10/domain/id,context_annotations/10/domain/name,context_annotations/10/domain/description,context_annotations/10/entity/id,context_annotations/10/entity/name,context_annotations/9/entity/description,context_annotations/11/domain/id,context_annotations/11/domain/name,context_annotations/11/domain/description,context_annotations/11/entity/id,context_annotations/11/entity/name,context_annotations/11/entity/description,context_annotations/12/domain/id,context_annotations/12/domain/name,context_annotations/12/domain/description,context_annotations/12/entity/id,context_annotations/12/entity/name,context_annotations/13/domain/id,context_annotations/13/domain/name,context_annotations/13/domain/description,context_annotations/13/entity/id,context_annotations/13/entity/name,context_annotations/14/domain/id,context_annotations/14/domain/name,context_annotations/14/domain/description,context_annotations/14/entity/id,context_annotations/14/entity/name,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,attachments/media_keys/0,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,attachments/media_keys/1,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/title,entities/urls/0/description
1279420476876611585,False,2020-07-04T14:23:06+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,19,33,0.9729,Person,Marina Troconis,67,69,0.7315,Organization,UCI,0,16,ServicioPúblico,112,122,COVID__19,183,188,4Jul,159,182,https://t.co/nqnJOmu7SY,https://gf.me/u/ydt2yr,gf.me/u/ydt2yr,es,8,0,4,0,130960665,"#ServicioPúblico | Marina Troconis, de 71 años, se encuentra en la UCI debido a una neumonía relacionada con el #COVID__19. Si puede colaborar, ingrese aquí:

https://t.co/nqnJOmu7SY #4Jul",everyone,Twitter Web App,1279420476876611585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279420242092003328,False,2020-07-04T14:22:10+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,177,185,0.9521,Place,Venezuela,,,,,,,,,,,,,,,187,210,https://t.co/agQGydePi3,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/help-my-aunt…,es,2,0,0,0,457049674,"Por Favor si Pueden hacer RT, ella es Bioanalista, Fue Profesora y Directora de la Escuela de Bioanálisis y necesita de Nuestra Ayuda 

Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/agQGydePi3",everyone,Twitter for iPhone,1279420242092003328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279419385921376256,False,2020-07-04T14:18:46+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,41,49,0.9892,Place,Venezuela,,,,,,,,,,,,,,,51,74,https://t.co/agQGydePi3,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/help-my-aunt…,en,0,0,0,0,457049674,Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/agQGydePi3,everyone,Twitter for iPhone,1279419385921376256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279418390399070208,False,2020-07-04T14:14:49+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,19,33,0.9748,Person,Marina Troconis,67,69,0.734,Organization,UCI,0,16,ServicioPúblico,112,122,COVID__19,,,,158,181,https://t.co/kIkt0hBrE8,https://gf.me/u/ydt2yr,gf.me/u/ydt2yr,es,4,0,1,0,500319739,"#ServicioPúblico | Marina Troconis, de 71 años, se encuentra en la UCI debido a una neumonía relacionada con el #COVID__19. Si puede colaborar, ingrese aquí: https://t.co/kIkt0hBrE8",everyone,Twitter Web App,1279418390399070208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279395454636175360,False,2020-07-04T12:43:41+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,41,49,0.9892,Place,Venezuela,,,,,,,,,,,,,,,51,74,https://t.co/rSz7JOopWS,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/help-my-aunt…,en,1,1,0,0,138495594,Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/rSz7JOopWS,everyone,Twitter for Android,1279395454636175360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279369983508844545,False,2020-07-04T11:02:28+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,13,18,0.4508,Person,Marina,39,97,0.495,Other,Escuela de Bioanálisis de la Facultad de Medicina de la UCV,,,,,,,,,,249,272,https://t.co/6f6ciSzVFA,https://gf.me/u/ydt2yr,gf.me/u/ydt2yr,es,0,0,0,0,102567480,"La profesora Marina, exdirectora de la Escuela de Bioanálisis de la Facultad de Medicina de la UCV, está luchando contra el COVID-19 y su familia recauda fondos para cubrir los gastos médicos. Pueden compartir esta campaña para que alcance su meta: https://t.co/6f6ciSzVFA",everyone,Twitter for Android,1279369983508844545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279309704271933440,False,2020-07-04T07:02:56+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,95,103,0.7408,Place,Venezuela,,,,,,,,,,,,,,,105,128,https://t.co/DmK2we9i0V,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela,gofundme.com/f/help-my-aunt…,es,0,0,0,0,128020102,"Lo más visto del día: Fundraiser by Milagros Aleman : Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/DmK2we9i0V, see more https://t.co/0gpGja1eYC",everyone,The Tweeted Times,1279309704271933440,139,162,https://t.co/0gpGja1eYC,http://tweetedtimes.com/jaalemand?s=tnp,tweetedtimes.com/jaalemand?s=tnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279296525575827457,False,2020-07-04T06:10:34+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,41,49,0.9892,Place,Venezuela,,,,,,,,,,,,,,,51,74,https://t.co/BUMuqaKssN,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/help-my-aunt…,en,0,0,0,0,118521064,Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/BUMuqaKssN,everyone,Twitter Web App,1279296525575827457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279278414319554569,False,2020-07-04T04:58:36+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,25,39,0.9466,Person,Milagros Aleman,84,92,0.9644,Place,Venezuela,,,,,,,,,,94,117,https://t.co/oTaJEEWlaM,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela,gofundme.com/f/help-my-aunt…,en,0,0,0,0,1626773486,"Top story: Fundraiser by Milagros Aleman : Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/oTaJEEWlaM, see more https://t.co/gvv3IP1suu",everyone,The Tweeted Times,1279278414319554569,128,151,https://t.co/gvv3IP1suu,http://tweetedtimes.com/El_J0k3rR?s=tnp,tweetedtimes.com/El_J0k3rR?s=tnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279266354068099078,False,2020-07-04T04:10:41+00:00,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,41,49,0.9892,Place,Venezuela,,,,,,,,,,,,,,,51,74,https://t.co/VRVNEB4hhh,https://www.gofundme.com/f/help-my-aunt-is-in-the-icu-covid-19-venezuela?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/help-my-aunt…,en,0,0,0,0,272073188,Help! My aunt is in the ICU.  Covid19 in Venezuela https://t.co/VRVNEB4hhh,everyone,Twitter Web App,1279266354068099078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
