,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
0,"Medical, Illness & Healing",17550,50000,USD,17550.0,50000.0,35.099999999999994,"Created April 2, 2021",2021-04-02,US,174,false
1,Volunteer & Service,5730,6000,USD,5730.0,6000.0,95.5,"Created April 13, 2020",2020-04-13,US,148,false
2,"Medical, Illness & Healing",5350,5000,USD,5350.0,5000.0,107.0,"Created April 25, 2020",2020-04-25,US,142,false
3,"Medical, Illness & Healing",3239,8000,USD,3239.0,8000.0,40.4875,"Created April 6, 2021",2021-04-06,US,37,false
4,Animals & Pets,1050,1800,EUR,1248.8700000000001,2140.92,58.333333333333336,"Created July 5, 2020",2020-07-05,US,32,false
5,"Medical, Illness & Healing",602,20000,USD,602.0,20000.0,3.01,"Created May 3, 2020",2020-05-03,US,18,false
6,Accidents & Emergencies,1235,2000,USD,1235.0,2000.0,61.75000000000001,"Created June 12, 2020",2020-06-12,US,27,false
7,Funerals & Memorials,390,1000,USD,390.0,1000.0,39.0,"Created January 17, 2021",2021-01-17,US,10,false
8,Volunteer & Service,85,40000,USD,85.0,40000.0,0.21250000000000002,"Created July 11, 2020",2020-07-11,US,3,false
9,"Medical, Illness & Healing",5000,5000,EUR,5947.0,5947.0,100.0,"Created April 9, 2021",2021-04-09,US,0,false
10,,5000,5000,USD,5000.0,5000.0,100.0,"Created April 5, 2021",2021-04-05,US,0,false
11,Other,5000,5000,USD,5000.0,5000.0,100.0,"Created September 8, 2020",2020-09-08,US,0,false
12,"Medical, Illness & Healing",2685,12000,USD,2685.0,12000.0,22.375,"Created March 31, 2021",2021-03-31,US,53,false
13,"Medical, Illness & Healing",725,70000,USD,725.0,70000.0,1.0357142857142856,Created 5 days ago,2021-04-15,US,21,false
14,"Medical, Illness & Healing",4424,20000,EUR,5261.9056,23788.0,22.12,"Created August 19, 2020",2020-08-19,US,30,false
15,"Medical, Illness & Healing",2338,5000,USD,2338.0,5000.0,46.760000000000005,"Created March 31, 2021",2021-03-31,US,47,false
16,"Medical, Illness & Healing",461,5000,EUR,548.3134,5947.0,9.22,"Created March 30, 2021",2021-03-30,US,12,false
17,Accidents & Emergencies,1060,4500,USD,1060.0,4500.0,23.555555555555554,"Created August 27, 2020",2020-08-27,US,25,false
18,Accidents & Emergencies,255,4000,USD,255.0,4000.0,6.375,"Created October 10, 2020",2020-10-10,US,11,false
19,"Medical, Illness & Healing",1189,15000,USD,1189.0,15000.0,7.926666666666667,"Created January 15, 2021",2021-01-15,US,18,false
20,"Medical, Illness & Healing",1182,30000,USD,1182.0,30000.0,3.94,"Created December 8, 2020",2020-12-08,US,21,false
21,Accidents & Emergencies,1255,12000,USD,1255.0,12000.0,10.458333333333334,"Created March 15, 2021",2021-03-15,US,32,false
22,"Medical, Illness & Healing",913,4000,USD,913.0,4000.0,22.825,"Created March 27, 2021",2021-03-27,US,26,false
23,"Medical, Illness & Healing",1755,1600,EUR,2087.397,1903.04,109.6875,"Created March 21, 2021",2021-03-21,US,45,false
24,"Medical, Illness & Healing",625,6000,USD,625.0,6000.0,10.416666666666668,"Created March 31, 2021",2021-03-31,US,15,false
25,"Medical, Illness & Healing",138,10000,EUR,164.1372,11894.0,1.38,Created 19 hours ago,2021-04-20,US,8,false
26,Accidents & Emergencies,100,7000,USD,100.0,7000.0,1.4285714285714286,"Created July 11, 2020",2020-07-11,US,6,false
27,Accidents & Emergencies,70,5000,USD,70.0,5000.0,1.4000000000000001,"Created November 29, 2020",2020-11-29,US,3,false
28,"Medical, Illness & Healing",63,600,EUR,74.9322,713.64,10.5,"Created July 9, 2020",2020-07-09,US,3,false
29,Other,60,300,USD,60.0,300.0,20.0,"Created July 29, 2020",2020-07-29,US,3,false
30,"Babies, Kids & Family",50,5000,USD,50.0,5000.0,1.0,"Created January 25, 2021",2021-01-25,US,2,false
31,Accidents & Emergencies,40,500,USD,40.0,500.0,8.0,"Created August 20, 2020",2020-08-20,US,1,false
32,"Medical, Illness & Healing",500,500,USD,500.0,500.0,100.0,"Created April 12, 2021",2021-04-12,US,0,false
33,"Medical, Illness & Healing",10000,10000,USD,10000.0,10000.0,100.0,"Created March 23, 2021",2021-03-23,US,0,false
34,"Medical, Illness & Healing",100000,100000,USD,100000.0,100000.0,100.0,"Created December 4, 2020",2020-12-04,US,0,false
35,Accidents & Emergencies,1000,1000,USD,1000.0,1000.0,100.0,"Created October 2, 2020",2020-10-02,US,0,false
36,"Medical, Illness & Healing",2115,2115,USD,2115.0,2115.0,100.0,"Created July 14, 2020",2020-07-14,US,52,false
37,"Medical, Illness & Healing",11452,40000,USD,11452.0,40000.0,28.63,Created 6 days ago,2021-04-14,US,139,false
38,"Medical, Illness & Healing",2973,25000,USD,2973.0,25000.0,11.892,"Created April 7, 2021",2021-04-07,US,66,false
39,Accidents & Emergencies,4556,12000,USD,4556.0,12000.0,37.96666666666667,Created 5 days ago,2021-04-16,US,57,false
40,"Medical, Illness & Healing",1107,2000,EUR,1316.6658,2378.8,55.35,Created 7 days ago,2021-04-14,US,29,false
41,"Medical, Illness & Healing",1870,2000,EUR,2224.178,2378.8,93.49999999999999,Created 6 days ago,2021-04-14,US,54,false
