referenced_tweets/0/type,referenced_tweets/0/id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,reply_settings,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,in_reply_to_user_id,geo/place_id,id,conversation_id,lang,author_id,created_at,text,possibly_sensitive,source,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,attachments/media_keys/0,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,entities/annotations/5/start,entities/annotations/5/end,entities/annotations/5/probability,entities/annotations/5/type,entities/annotations/5/normalized_text,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/mentions/11/start,entities/mentions/11/end,entities/mentions/11/username,entities/mentions/12/start,entities/mentions/12/end,entities/mentions/12/username,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,entities/mentions/13/start,entities/mentions/13/end,entities/mentions/13/username,entities/mentions/14/start,entities/mentions/14/end,entities/mentions/14/username,entities/mentions/15/start,entities/mentions/15/end,entities/mentions/15/username,entities/mentions/16/start,entities/mentions/16/end,entities/mentions/16/username,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,entities/urls/3/start,entities/urls/3/end,entities/urls/3/url,entities/urls/3/expanded_url,entities/urls/3/display_url,attachments/media_keys/2,attachments/media_keys/3,context_annotations/2/entity/description,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description
replied_to,1390443313010991113,2,1,0,0,everyone,0,12,aura_seijas,13,25,LimonActivo,26,40,BrullerbyPSUV,2984851350,01b397c72768b832,1390837224170790913,1390032432037048326,es,207193633,2021-05-08T01:13:29+00:00,"@aura_seijas @LimonActivo @BrullerbyPSUV Sabe una cosa el gobierno no ha aprobado ese aumento.. Uds cobran lo que le venga en gana. El transporte público es un servicio público, no una empresa para enriquecerse. El estado les autoriza la ruta para que la trabajen. Así o más claro",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1390809922774867968,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1390832971171631104,1390832971171631104,es,111454298,2021-05-08T00:56:35+00:00,Es súper importante ! Además es un servicio público!! https://t.co/XogzSBBVIZ,False,Twitter for Android,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,54,77,https://t.co/XogzSBBVIZ,https://twitter.com/RedOrgBaruta/status/1390809922774867968,twitter.com/RedOrgBaruta/s…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1390007154279686157,7,0,0,0,everyone,,,,,,,,,,,00dd051c4ae032b0,1390061020387938306,1390061020387938306,es,67153643,2021-05-05T21:49:08+00:00,"#5May Estaciones de servicio asignadas al transporte público y que puedan equipar más de los 40 litros que se les permite, fueron las peticiones de los transportistas de #Guarenas y #Guatire durante la protesta por #gasoil

600 unidades en la zona están afectadas sin combustible https://t.co/JcWKY4TDvS",False,Twitter for Android,,,,,,280,303,https://t.co/JcWKY4TDvS,https://twitter.com/ElPitazoTV/status/1390007154279686157,twitter.com/ElPitazoTV/sta…,0,5,5May,170,179,Guarenas,182,190,Guatire,215,222,gasoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,1,0,0,everyone,84,94,Caguacity,95,111,elimaraldazoro2,112,124,AnonMundial,,00eacd9e4c340449,1390050932533219330,1390050932533219330,es,250164534,2021-05-05T21:09:02+00:00,SERVICIO PÚBLICO: se requiere donación para llevar acabo 4to.ciclo de quimioterapia @Caguacity @elimaraldazoro2 @AnonMundial @ActitudCancer @LuisRafaelSala https://t.co/2TGVK1fPlL,False,Twitter for Android,,,,,,156,179,https://t.co/2TGVK1fPlL,https://twitter.com/biss2024/status/1390050932533219330/photo/1,pic.twitter.com/2TGVK1fPlL,,,,,,,,,,,,,125,139,ActitudCancer,140,155,LuisRafaelSala,31390050930566090755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,0,0,everyone,,,,,,,,,,,015e5397777769a2,1389663978989699076,1389663978989699076,es,1350049226051489792,2021-05-04T19:31:25+00:00,"#04May Fuerza trabajadora de Corpoelec #Mérida, fortaleció el servicio eléctrico en el km 5 y San Miguel del municipio Zea, mediante el plan de Pica, Poda y Tala, de igual manera se acondicionó el alumbrado público en en la comunidad El Volcán.

¡Corpoelec trabaja para ti! https://t.co/xzo8v47tr2",False,Twitter for Android,,,,,,274,297,https://t.co/xzo8v47tr2,https://twitter.com/Corpoelec_Merid/status/1389663978989699076/photo/1,pic.twitter.com/xzo8v47tr2,0,6,04May,39,46,Mérida,,,,,,,,,,,,,31389663965878308866,29,37,0.7646,Organization,Corpoelec,94,121,0.6873,Place,San Miguel del municipio Zea,144,147,0.6944,Place,Pica,150,153,0.5531,Place,Poda,157,160,0.6776,Place,Tala,234,242,0.3669,Place,El Volcán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1388316492798648321,1,0,6,0,everyone,0,15,VenezuelaSaime,16,32,JoantonyCarmona,,,,913822265963421696,012af435641420c7,1388420652781215744,1388316492798648321,es,339903961,2021-05-01T09:10:53+00:00,"@VenezuelaSaime @JoantonyCarmona Pero ¿porqué un servicio público, tiene q ser motivo de súplicas y luego reconocimientos? Es algo básico, elemental. Es algo q debería ser normal y abordado con eficiencia e inmediatez. Sólo deben hacer lo q se les paga por hacer. ¡Claro q valoramos el éxito! Pero háganlo normal",False,Twitter for Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1388210665354145792,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1388270877637234689,1388270877637234689,es,108647424,2021-04-30T23:15:44+00:00,Servicio público https://t.co/0SIA0mwoIr,False,Twitter for Android,,,,,,17,40,https://t.co/0SIA0mwoIr,https://twitter.com/daniela_1719/status/1388210665354145792,twitter.com/daniela_1719/s…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
replied_to,1388262579236130817,0,0,1,0,everyone,,,,,,,,,,2322719659,019e6a103559d590,1388263003695558658,1388262124976214017,es,2322719659,2021-04-30T22:44:27+00:00,"Es un servicio de internet por fibra óptica rapidísimo, su único defecto es que la atención al público no es muy buena, pero al menos es servicio si lo es. 

Tiene un costo de $200 la instalación y mensual $35 por 50 megas. 👀 están instalando en Araure, pronto en Acarigua.",False,Twitter for iPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,252,0.9802,Place,Araure,265,272,0.969,Place,Acarigua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1388252595953750019,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1388252960665255944,1388252960665255944,es,111454298,2021-04-30T22:04:32+00:00,Obvio es un servicio público que los ciudadanos pagan !🙏☺️ https://t.co/qHaLOxmHuF,False,Twitter for Android,10,Person,Named people in the world like Nelson Mandela,839575776999583745,Nicolás Maduro,59,82,https://t.co/qHaLOxmHuF,https://twitter.com/HidroCapital2/status/1388252595953750019,twitter.com/HidroCapital2/…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden",839575776999583745,Nicolás Maduro,President of Venezuela Nicolás Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,1387853519466737666,0,0,0,0,everyone,,,,,,,,,,,008eb02a542ac3d4,1387949702868606976,1387949702868606976,es,108647424,2021-04-30T01:59:30+00:00,Servicio público https://t.co/bDdSPzf7z8,False,Twitter for Android,,,,,,17,40,https://t.co/bDdSPzf7z8,https://twitter.com/MarianelaSasso/status/1387853519466737666,twitter.com/MarianelaSasso…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
