created_at,text
2020-07-27T01:15:10+00:00,"#ServicioPúblico #Táchira. Se necesita con urgencia, en calidad de préstamo, alquiler o venta, un manómetro para paciente oncológico en #SanCristóbal. Si usted tiene uno por favor contáctese con Jennifer Bonilla al número +58 412-6812595, si no, ayuda a compartir este mensaje"
2020-07-26T17:03:31+00:00,¡Dios Santo!!! Esta es la situación real en #Venezuela #ElTema #Salud #ServicioPublico #URGENTE https://t.co/iIlhpBwmt0
2020-07-26T12:37:41+00:00,#ServicioPúblico https://t.co/sW2kSphw8K
2020-07-25T22:36:23+00:00,"#ServicioPublico
Si está en tus posibilidades, ayuda a la señora:
ANA MARIA BRACHO
Abuelita de una alumna de la @ecomunitaria
Necesita operarse de un Cáncer de mama
🖐🏻😷🏡  https://t.co/SsIfthA5Fx"
2020-07-25T19:59:04+00:00,#ServicioPúblico https://t.co/OS8F7Aa9He
2020-07-25T15:41:45+00:00,"#ServicioPúblico Anitcelis María García Alvarado desapareció en El Dorado, municipio Sifontes, el último día de contacto con sus familiares fue el 20 de junio de 2020, si tienes alguna información por favor escríbenos al 04147987940 o al correo electrónico fullpaperca@gmail.com https://t.co/kzL8T18lxZ"
2020-07-24T19:21:58+00:00,#ServicioPublico https://t.co/ILYiZYRZu9
2020-07-24T10:28:33+00:00,"#ServicioPúblico Anitcelis María García Alvarado desapareció en El Dorado, municipio Sifontes, el último día de contacto con sus familiares fue el 20 de junio de 2020, si tienes alguna información por favor escríbenos al 04147987940 o al correo electrónico fullpaperca@gmail.com https://t.co/O6rinYPyyS"
2020-07-23T14:38:34+00:00,"Buenos días, soy de #Cumaná Estado Sucre. Ando buscando estos medicamentos para mi tratamiento de #quimioterapia. RT 
MESNA 400MG/ 12 AMP 
MESNA 400MG/ 16 TABLETAS 
IFOSFAMIDA AMP 1G/ 8 AMP
DOXORRUBICINA 50MG/ 2 AMP
@FLaPastillita
@BuscandoMedicin
#ServicioPublico
#23dejulio"
2020-07-23T14:19:32+00:00,"#ServicioPúblico Anitcelis María García Alvarado desapareció en El Dorado, municipio Sifontes, el último día de contacto con sus familiares fue el 20 de junio de 2020, si tienes alguna información por favor escríbenos al 04147987940 o al correo electrónico fullpaperca@gmail.com https://t.co/czJJl3uEPR"
2020-07-23T04:39:18+00:00,#ServicioPublico #10YearsOfOneDirection #bbnaijalockdown2020 #10YearsOf1D #HappyBirthdaySuriya #NFFC #DIRECTIONERSBREAKTHEINTERNET #DIRECTIONERSBREAKTHEINTERNET #YouTubeban https://t.co/4WNIcljmRy
2020-07-22T02:04:27+00:00,"#SERVICIOPUBLICO #URGENTE 
Mi amiga es estudiante de veterinaria y necesita apoyo económico para su intervención quirúrgica ""Nefrostomia percutanea"".  #colaborar y #compartir #Venezuela #Portuguesa #eeuu #españa #Guaido #Miami #madrid #COVID @LuisOlavarrieta @fundacionjesed https://t.co/EuknLaXmhV"
2020-07-21T16:07:55+00:00,"#ServicioPúblico ¿Dónde están Diego Gil y Germán González? 

#queaparezcandiegoygerman #ayudanosaencontraradiegoygerman 
#QueAparezcanDiegoyGerman https://t.co/lhvyiG3KJJ"
