Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
2020-02-22,0.0,0.0,0.0,
2020-02-23,2.84059190550907,0.194466770744808,16.5293631123209,
2020-02-24,5.53765929435904,0.950555307490856,26.8869035613468,
2020-02-25,10.0451155121324,2.71842629355023,33.8667491432,
2020-02-26,17.572251002638,5.75591361129268,48.3767156026041,
2020-02-27,29.4643610471712,10.4180623199836,73.7632937630658,
2020-02-28,46.6566146538864,17.4544637864577,115.83205151001,
2020-02-29,69.3651545692829,27.1619815813537,176.927444495678,
2020-03-01,97.078021268693,36.5094190659451,245.421655820655,
2020-03-02,128.636095987186,46.0945453028313,310.155460658695,
2020-03-03,162.320692439515,56.5758513422569,377.06898555588,
2020-03-04,196.031976197044,63.9930042350308,436.654422695191,
2020-03-05,227.605693734251,68.5170764566069,507.645944139558,
2020-03-06,255.089797499592,77.4266802197716,562.46955532322,
2020-03-07,276.957064498219,81.6950611660188,596.823795152668,
2020-03-08,292.272014126563,83.775609959786,604.642361681218,
2020-03-09,300.711949791995,86.0024670627361,629.159031503893,
2020-03-10,302.478772226631,90.8202988511195,622.666439618937,
2020-03-11,298.221932540344,91.1392694366751,598.912414409735,
2020-03-12,288.907964921341,92.2026458607372,581.891140059035,
2020-03-13,275.670920387722,98.2327414792995,567.002149647685,
2020-03-14,259.678539416096,97.3732166721733,522.63214246365,
2020-03-15,242.018419616925,92.534552037089,476.777142822726,
2020-03-16,223.617192416396,86.5581958793658,430.159588343357,5.66667
2020-03-17,205.225803854508,86.0543217007808,376.555796357638,8.25
2020-03-18,187.412940570372,79.9849302374953,346.832150773267,7.2
2020-03-19,170.570506141679,75.120425731215,311.269823723774,7.0
2020-03-20,154.931411655702,70.2166574938661,278.605749566329,6.0
2020-03-21,140.611778885742,64.862442270008,255.282301989124,9.71429
2020-03-22,127.647992851898,62.0452716999785,231.625385246547,8.57143
2020-03-23,116.021157679725,56.6535651588205,217.421693859192,8.57143
2020-03-24,105.676373815779,51.0960641084317,201.300990060718,7.28571
2020-03-25,96.5331736657313,46.6697924462044,182.195884207428,7.85714
2020-03-26,88.4960653165732,42.4518219258865,171.062963786195,9.28571
2020-03-27,81.4649587103013,39.0864268505496,157.826010059394,9.28571
2020-03-28,75.3442402880398,36.1016684089726,148.881651616548,7.0
2020-03-29,70.0425830957345,33.8917736626651,144.040465631613,7.0
2020-03-30,65.4731111113195,31.5327708000309,136.053754563249,8.28571
2020-03-31,61.55629276812,29.5031675458161,129.55560366986,7.28571
2020-04-01,58.2219709448641,27.6156345647772,124.355493741439,7.42857
2020-04-02,55.4097345602403,26.1204599231516,118.587334123872,5.57143
2020-04-03,53.0674652455176,24.811671544878,113.934252589671,6.57143
2020-04-04,51.1497910041076,24.1997881602885,109.391278753924,5.14286
2020-04-05,49.6191287082858,23.9786687475328,107.891703696407,5.71429
2020-04-06,48.4449924948488,23.5500424673268,103.624096919429,4.28571
2020-04-07,47.6032724825823,22.9525556582164,102.187549428652,4.28571
2020-04-08,47.0759326930125,22.6434442647447,97.6616456802856,3.42857
2020-04-09,46.8508769964858,22.4337444998678,96.6132031506281,3.57143
2020-04-10,46.9218355964381,22.5078488614878,94.7691756113417,2.57143
2020-04-11,47.2871791615963,22.7824779748454,94.3172201573381,2.85714
2020-04-12,47.9490366241115,22.8193890686312,94.4483985613649,3.14286
2020-04-13,48.9132958201157,23.1841170435213,94.382038341588,3.42857
2020-04-14,50.1895817687206,23.7473769505008,94.7347265181054,3.42857
2020-04-15,51.7923280771888,23.913630357741,97.6709138519846,4.28571
2020-04-16,53.7410028600577,25.0610369585365,98.2116964902212,4.71429
2020-04-17,56.0593254808254,26.1265720155208,97.3407299635783,4.71429
2020-04-18,58.7756404950026,26.9577112520961,100.368674835022,7.42857
2020-04-19,61.9239658480967,28.1330639152012,106.473892705157,10.71429
2020-04-20,65.5439136858902,29.7406723629987,110.647724402557,9.57143
2020-04-21,69.6801319133772,32.7813733886517,117.754609300236,13.71429
